episodes,reward
0,0.064
1000,-0.35833333333333334
2000,-0.027
3000,0.162
4000,0.2753333333333333
5000,-0.133
6000,-0.08333333333333333
7000,-0.48966666666666664
8000,-0.362
9000,-0.27466666666666667
10000,-0.21633333333333332
11000,-0.07666666666666666
12000,-0.048
13000,-0.20133333333333334
14000,0.026
15000,0.19466666666666665
16000,-0.30266666666666664
17000,-0.14133333333333334
18000,0.13933333333333334
19000,-0.06966666666666667
20000,-0.33466666666666667
21000,-0.282
22000,0.15033333333333335
23000,0.0
24000,-0.021333333333333333
25000,0.09233333333333334
26000,-0.010333333333333333
27000,-0.173
28000,0.16033333333333333
29000,-0.09033333333333333
30000,0.05533333333333333
31000,-0.21166666666666667
32000,-0.054
33000,0.14666666666666667
34000,-0.15633333333333332
35000,-0.08266666666666667
36000,0.17733333333333334
37000,0.21966666666666668
38000,0.06366666666666666
39000,-0.007
40000,-0.08566666666666667
41000,0.064
42000,0.018666666666666668
43000,-0.14133333333333334
44000,-0.048666666666666664
45000,-0.017666666666666667
46000,0.144
47000,0.14133333333333334
