episodes,win rate,win rate easy,win rate medium,win rate hard
0,0.505,0.8469601677148847,0.5162026471930625,0.14886901630720673
1000,0.4718333333333333,0.8277462609592573,0.4482758620689655,0.12816370490037696
2000,0.4915,0.8524504692387904,0.4800732936326157,0.14007372301211163
3000,0.5115,0.8479381443298969,0.5158329508949059,0.1594896331738437
4000,0.5288333333333334,0.8583800305654611,0.5298950251026928,0.1771397616468039
5000,0.48733333333333334,0.839499739447629,0.4751027866605756,0.14429175475687103
6000,0.4915,0.8352631578947368,0.4833555259653795,0.14780725500812128
7000,0.44783333333333336,0.7978989494747374,0.40780306549001394,0.11580086580086581
8000,0.4728333333333333,0.8212407991587802,0.46476964769647694,0.1305732484076433
9000,0.4645,0.8233369683751364,0.4587876144788487,0.1201281366791244
10000,0.4791666666666667,0.8387949260042283,0.47644927536231885,0.12421052631578948
11000,0.485,0.8350132625994695,0.47695749440715884,0.14361702127659576
12000,0.49783333333333335,0.8493003229278795,0.5038271049076992,0.15096304008328995
13000,0.4815,0.8142414860681114,0.4713896457765668,0.14677419354838708
14000,0.5075,0.8530031612223393,0.5148247978436657,0.14925373134328357
15000,0.5225,0.859594383775351,0.5229232864275988,0.17609391675560299
16000,0.4765,0.8375931842385517,0.4688494770350159,0.13260530421216848
17000,0.48,0.8393617021276596,0.47363636363636363,0.13541666666666666
18000,0.5056666666666667,0.8610679108346293,0.49440715883668906,0.14596949891067537
19000,0.49633333333333335,0.8519685039370078,0.482571299230421,0.15323435843054084
20000,0.469,0.8123989218328841,0.47477477477477475,0.13142857142857142
21000,0.4751666666666667,0.8345905172413793,0.4749328558639212,0.1261780104712042
22000,0.5126666666666667,0.8523206751054853,0.5233602875112309,0.15708200212992546
23000,0.5018333333333334,0.8363448631905007,0.5127620783956244,0.14232209737827714
24000,0.49933333333333335,0.8319148936170213,0.5160580730312363,0.14022739577693558
25000,0.5101666666666667,0.8508021390374332,0.5136203866432337,0.16235167206040993
26000,0.49833333333333335,0.8567552902875746,0.5074424898511503,0.14742268041237114
27000,0.48433333333333334,0.8364213869772367,0.4867890729959696,0.12726304579339723
28000,0.5168333333333334,0.8599895123230205,0.525854108956602,0.16709911779968864
29000,0.49533333333333335,0.854353562005277,0.4961728950923008,0.1332271762208068
30000,0.5,0.8556375131717597,0.4919981710105167,0.1566579634464752
31000,0.4786666666666667,0.8334223171382809,0.4684845775592311,0.13915343915343914
32000,0.48983333333333334,0.8414050026609899,0.49420160570918825,0.13304949441192124
33000,0.5086666666666667,0.8633440514469454,0.5189411227749886,0.1564590838908904
34000,0.4891666666666667,0.840270551508845,0.470432480141218,0.1401766004415011
35000,0.4905,0.8485342019543974,0.48349764252036004,0.13808219178082193
36000,0.5213333333333333,0.8701030927835052,0.5194218608852755,0.1570964247020585
37000,0.5203333333333333,0.8616621983914209,0.5185976913210774,0.16815144766146994
38000,0.5,0.8369622942113648,0.4930191972076789,0.1610958904109589
39000,0.49733333333333335,0.8360742705570292,0.5039473684210526,0.14114441416893733
40000,0.49266666666666664,0.838125665601704,0.4893520616221115,0.1577023498694517
41000,0.5068333333333334,0.8528301886792453,0.51395657953035,0.1583686440677966
42000,0.5043333333333333,0.8573700954400848,0.4923903312444047,0.16436170212765958
43000,0.4816666666666667,0.8289760348583878,0.4869179600886918,0.14143530644316396
44000,0.5013333333333333,0.846350178662583,0.5004562043795621,0.1368307193077339
45000,0.5006666666666667,0.8560606060606061,0.5062388591800356,0.149895178197065
46000,0.5185,0.8710370768404084,0.5126970227670753,0.17196765498652292
47000,0.5085,0.8572967151319332,0.5129695885509838,0.16360776088096488
