timestep,win rate,win rate easy,win rate medium,win rate hard
4160052,0.5171666666666667,0.8542336548767417,0.528191249436175,0.1763171622326552
4212052,0.511,0.8542976939203354,0.5149486836233824,0.15235008103727715
4264052,0.5093333333333333,0.8576923076923076,0.5201224846894138,0.16156282998944033
4316052,0.5231666666666667,0.8829164449175093,0.5182481751824818,0.17833074131674442
4368052,0.5138333333333334,0.844845908607864,0.5211075805719474,0.1801566579634465
4420052,0.523,0.8642509464575446,0.5312916111850865,0.18071654373024237
4472052,0.5225,0.8745288099084545,0.5310129406514948,0.16876971608832808
4524052,0.5223333333333333,0.8825093035619351,0.5361199454793276,0.15328467153284672
4576052,0.5138333333333334,0.8583061889250815,0.5243147656940761,0.16666666666666666
4628052,0.5126666666666667,0.8725121032813341,0.5165770609318996,0.15767417496071243
4680052,0.5111666666666667,0.8571428571428571,0.5307930881701374,0.16321243523316062
4732052,0.5293333333333333,0.8754010695187165,0.537293434569004,0.177683765203596
4784052,0.5188333333333334,0.8575184016824395,0.5356656065424807,0.15972588297311544
4836052,0.5278333333333334,0.8739859383450513,0.5387700534759359,0.1793392763502884
4888052,0.5145,0.8589189189189189,0.5217010083296799,0.1647940074906367
4940052,0.5221666666666667,0.8554540569586244,0.5266349068860979,0.17759562841530055
4992052,0.5228333333333334,0.8692098092643051,0.5444646098003629,0.17440081591024986
5044052,0.5183333333333333,0.8539509536784741,0.5344449319877139,0.172322375397667
5096052,0.5313333333333333,0.8595564941921858,0.5405160706201901,0.1929362150764365
5148052,0.5263333333333333,0.8719704952581665,0.5354020979020979,0.15325248070562295
5200052,0.5205,0.8669160876536611,0.5228990662516674,0.17287234042553193
5252052,0.5298333333333334,0.8619072433559145,0.52882096069869,0.175321049692909
5304052,0.5295,0.8787234042553191,0.5362637362637362,0.16531165311653118
5356052,0.5318333333333334,0.8694976696012429,0.537121906507791,0.18018018018018017
5408052,0.5336666666666666,0.878987898789879,0.5546737213403881,0.180773249738767
5460052,0.5266666666666666,0.8733766233766234,0.5502262443438914,0.16992790937178168
5512052,0.5245,0.8664512654819602,0.531390134529148,0.18452692106638788
5564052,0.5271666666666667,0.8790450928381963,0.5381543921916593,0.15744223535733476
5616052,0.5275,0.8607198748043818,0.5380410022779043,0.17690677966101695
5668052,0.5266666666666666,0.8687759336099585,0.5296985815602837,0.15969162995594713
5720052,0.5326666666666666,0.8667015159435442,0.5520218082689686,0.17126193001060444
5772052,0.5088333333333334,0.8585594989561587,0.5052728106373223,0.1607987388334209
5824052,0.5043333333333333,0.8512526096033403,0.5124941065535125,0.15690269994905756
5876052,0.502,0.8462343096234309,0.5051454138702461,0.1430113329735564
5928052,0.49466666666666664,0.8485010706638115,0.4939380332285586,0.14855643044619424
5980052,0.5116666666666667,0.8530334728033473,0.5066666666666667,0.16267682263329705
6032052,0.5038333333333334,0.8481147105682422,0.5087316176470589,0.16434827408552294
6084052,0.501,0.8574434508153603,0.49398127507802053,0.14439655172413793
6136052,0.5043333333333333,0.855127509495388,0.5113082039911309,0.15615141955835962
6188052,0.511,0.8604528699315429,0.5129464285714286,0.15206878022568512
6240052,0.5093333333333333,0.8688172043010752,0.5151785714285714,0.15052631578947367
6292052,0.513,0.8584450402144772,0.5192139737991266,0.15609756097560976
6344052,0.5028333333333334,0.8514225500526871,0.507815989280929,0.14170692431561996
6396052,0.503,0.846484165324745,0.505338078291815,0.16146109052408683
6448052,0.5188333333333334,0.8664596273291926,0.5132823052678973,0.16188413643746616
6500052,0.5035,0.8471615720524017,0.5041648399824639,0.169051404345522
6552052,0.5016666666666667,0.8451948051948052,0.5147874306839186,0.14076399790685504
6604052,0.52,0.8544238683127572,0.5269652650822669,0.16381156316916487
6656052,0.49583333333333335,0.8414766558089034,0.4922145328719723,0.15547128927410617
6708052,0.5133333333333333,0.8712041884816754,0.5067996373526745,0.15817409766454352
6760052,0.5075,0.854632587859425,0.5197278911564626,0.15336463223787167
6812052,0.512,0.8629845990440786,0.5152057245080501,0.1568314726209463
6864052,0.5041666666666667,0.8607046070460704,0.5182899955927721,0.1383881230116649
6916052,0.49,0.854343220338983,0.47816298964430437,0.14013749338974088
6968052,0.49733333333333335,0.8525811601915912,0.4888691006233304,0.15146666666666667
7020052,0.49533333333333335,0.8571428571428571,0.48029449978345606,0.14598141060688902
7072052,0.47933333333333333,0.8475577026301664,0.46678716674197923,0.13721413721413722
7124052,0.5016666666666667,0.8365334717176959,0.4913294797687861,0.16063596491228072
7176052,0.5121666666666667,0.8525273579989577,0.5097153185720741,0.16541755888650964
7228052,0.49033333333333334,0.8426906779661016,0.49387755102040815,0.1373885684320923
7280052,0.49733333333333335,0.8439306358381503,0.4879786286731968,0.15235008103727715
7332052,0.48483333333333334,0.841031149301826,0.4828193832599119,0.1322269807280514
7384052,0.49016666666666664,0.8479312197743148,0.4899328859060403,0.1407563025210084
7436052,0.49933333333333335,0.8565594691168964,0.4823196605374823,0.15364583333333334
7488052,0.49366666666666664,0.84487246225924,0.4831511839708561,0.14763674986723313
7540052,0.4781666666666667,0.8315844700944386,0.4654292343387471,0.14492006188757092
7592052,0.488,0.8340540540540541,0.4856271777003484,0.14563106796116504
7644052,0.4765,0.8236559139784946,0.4776586237712243,0.13564668769716087
7696052,0.485,0.8306277056277056,0.4911161731207289,0.15176290240163515
7748052,0.48233333333333334,0.8294829482948295,0.48679081853616285,0.1398825413774693
7800052,0.5028333333333334,0.8455371459112774,0.5072719259585721,0.15268817204301074
7852052,0.48733333333333334,0.833070036861506,0.48482142857142857,0.13756045137023107
7904052,0.4725,0.8236856080722251,0.45827929096411585,0.12416851441241686
7956052,0.496,0.8393891521853607,0.486922406277245,0.1466519092418373
8008052,0.4771666666666667,0.8221635883905013,0.46738641475483583,0.14133900106269925
8060052,0.4795,0.8334234721471065,0.480104940970704,0.1276824034334764
8112052,0.4695,0.8269441401971522,0.4575971731448763,0.1418848167539267
8164052,0.47333333333333333,0.8184252811997857,0.4680946006247211,0.13900634249471458
8216052,0.48283333333333334,0.837737843551797,0.47672842295526435,0.13562005277044856
8268052,0.4805,0.8426315789473684,0.4717330861909175,0.13594232749742532
8320052,0.4805,0.8400864397622907,0.4819277108433735,0.129979035639413
8372052,0.47933333333333333,0.8283864004317323,0.48552338530066813,0.13196635120925343
8424052,0.48033333333333333,0.8380545163014431,0.47655203215721303,0.1306878306878307
8476052,0.4886666666666667,0.8449197860962567,0.4878048780487805,0.1419624217118998
8528052,0.48383333333333334,0.8350294590251741,0.4815144766146993,0.1393008474576271
8580052,0.47883333333333333,0.8311822405782138,0.4753717472118959,0.12558869701726844
8632052,0.4875,0.849286092014807,0.4755877034358047,0.14074855034264627
8684052,0.49283333333333335,0.8472070098576122,0.494971578487101,0.14732379438261792
8736052,0.4815,0.8446389496717724,0.4717391304347826,0.1388888888888889
8788052,0.49083333333333334,0.8451681793913508,0.48297213622291024,0.14469453376205788
8840052,0.49333333333333335,0.8461942257217848,0.4865711727842435,0.14024717893605587
8892052,0.501,0.8444444444444444,0.5036780614452618,0.1540130151843818
8944052,0.497,0.8448,0.4961934617107031,0.15327695560253699
8996052,0.5053333333333333,0.8430864836872087,0.5086442220200182,0.15285943345804381
9048052,0.5033333333333333,0.862013851891316,0.49730700179533216,0.15514511873350922
9100052,0.5135,0.8546117769671704,0.5163897620116749,0.156957928802589
9152052,0.5053333333333333,0.8557187827911857,0.5061058344640434,0.14976101964949548
9204052,0.507,0.8565488565488566,0.5171154723870379,0.13846153846153847
9256052,0.5155,0.8637803590285111,0.5173333333333333,0.15786637931034483
9308052,0.5213333333333333,0.8564790913784203,0.5285518501598904,0.1664887940234792
9360052,0.5083333333333333,0.868675995694295,0.5076301615798923,0.1593521421107628
9412052,0.5166666666666667,0.8543689320388349,0.5122393472348141,0.1622210125204137
9464052,0.5178333333333334,0.8439821693907875,0.5178899082568807,0.1521377012770683
9516052,0.4995,0.8380281690140845,0.5092632485997415,0.14620840152755046
9568052,0.49783333333333335,0.8489170628631801,0.49064171122994654,0.1497584541062802
9620052,0.5005,0.8441771459814106,0.5090171325518486,0.16897081413210446
9672052,0.5156666666666667,0.8605263157894737,0.532520325203252,0.14846235418875928
9724052,0.5168333333333334,0.8544973544973545,0.5126416739319966,0.17070484581497797
9776052,0.5046666666666667,0.8542005420054201,0.5130395683453237,0.16105644743656136
9828052,0.5005,0.8569105691056911,0.5140229885057471,0.15353535353535352
9880052,0.5073333333333333,0.8468040147913365,0.5052863436123348,0.16004354926510614
9932052,0.5096666666666667,0.8548470710212546,0.5198522622345337,0.14855643044619424
9984052,0.5048333333333334,0.8568409931325938,0.49307726663689144,0.16220556745182013
10036052,0.5106666666666667,0.8613445378151261,0.5035778175313059,0.16021505376344086
10088052,0.5061666666666667,0.8398976982097187,0.4953436807095344,0.1553072625698324
10140052,0.5026666666666667,0.854573484069887,0.48490310950878773,0.15095367847411445
10192052,0.4876666666666667,0.8393234672304439,0.49379310344827587,0.13657527159855148
10244052,0.5076666666666667,0.8649350649350649,0.4935064935064935,0.15146579804560262
10296052,0.49933333333333335,0.8483235763704098,0.4984368021438142,0.15196599362380447
10348052,0.5093333333333333,0.8586332811684925,0.5082185695246557,0.14519650655021835
10400052,0.48966666666666664,0.8473958333333333,0.4830546769091731,0.12961971076593465
10452052,0.5168333333333334,0.8574445617740233,0.5211769950958538,0.16532474503488997
10504052,0.501,0.8506963788300835,0.5235765124555161,0.1543178334184977
10556052,0.5195,0.8622915545992469,0.5342768686421937,0.16276595744680852
10608052,0.5083333333333333,0.8589055793991416,0.5140781108083561,0.1639089968976215
10660052,0.5035,0.856682769726248,0.5040613718411552,0.1603331598125976
10712052,0.5015,0.8507953922106418,0.5168738898756661,0.15272727272727274
10764052,0.5156666666666667,0.8652291105121294,0.5329695316052752,0.16289825282631037
10816052,0.5185,0.8668076109936576,0.5167420814479639,0.1733403582718651
10868052,0.5098333333333334,0.8585157501334757,0.526075022872827,0.15507470376094795
10920052,0.5235,0.8575037897928247,0.534372135655362,0.15116911364872213
10972052,0.5091666666666667,0.8742138364779874,0.4863556338028169,0.15494505494505495
11024052,0.495,0.8365840801265155,0.4907325684024713,0.14752313554708765
11076052,0.5031666666666667,0.8544,0.5087483176312247,0.14926160337552744
11128052,0.5035,0.853185595567867,0.5291499777481086,0.14989733059548255
11180052,0.5095,0.8449170124481328,0.507181328545781,0.1616052060737527
11232052,0.4975,0.8643886812600107,0.48996350364963503,0.15090439276485787
11284052,0.49716666666666665,0.8521462639109698,0.48127177700348434,0.14859658778205834
11336052,0.49533333333333335,0.8407032498668088,0.5038444142921755,0.14644351464435146
11388052,0.5065,0.8411214953271028,0.5102692834322228,0.15985130111524162
11440052,0.5008333333333334,0.8453237410071942,0.5051498127340824,0.1465067778936392
11492052,0.4955,0.8291909042834479,0.500895255147717,0.15253333333333333
11544052,0.5081666666666667,0.8464399574920297,0.5133423790140208,0.16832721552176194
11596052,0.5045,0.8497109826589595,0.5026881720430108,0.1544235924932976
11648052,0.5098333333333334,0.8393309680689306,0.506401766004415,0.1452894438138479
11700052,0.5001666666666666,0.8387605042016807,0.4955595026642984,0.1561822125813449
11752052,0.5215,0.8706673564407656,0.5217965653896962,0.1453229398663697
11804052,0.508,0.859916054564533,0.49684400360685305,0.1636460554371002
11856052,0.519,0.8663816141101015,0.5166666666666667,0.17036235803136832
11908052,0.5046666666666667,0.8624862486248625,0.5017683465959328,0.16927083333333334
11960052,0.5155,0.8530031612223393,0.5375956776226924,0.14885699096225413
12012052,0.5118333333333334,0.8632432432432432,0.5193936691930451,0.16203460933403252
12064052,0.49966666666666665,0.8420773714891362,0.4995479204339964,0.1599158337716991
12116052,0.5196666666666667,0.8615136876006442,0.5250763192324466,0.1675704989154013
12168052,0.5205,0.8638011393060591,0.5004347826086957,0.17184850197851895
12220052,0.5175,0.8703108252947481,0.5185185185185185,0.1734375
12272052,0.5208333333333334,0.8658214474379292,0.51985559566787,0.17662612374405076
12324052,0.5266666666666666,0.8774193548387097,0.5323361196656401,0.17032672737011248
12376052,0.5228333333333334,0.8680851063829788,0.5283687943262412,0.16791845493562232
12428052,0.5248333333333334,0.8732912723449001,0.5305378304466728,0.17016806722689076
12480052,0.5148333333333334,0.8562367864693446,0.5275270758122743,0.15856236786469344
12532052,0.5195,0.8535433070866142,0.5355239786856127,0.15463917525773196
12584052,0.5153333333333333,0.855339295107838,0.5179124281291464,0.16050054406964093
12636052,0.507,0.8537735849056604,0.513063063063063,0.14636752136752137
12688052,0.515,0.854678515420805,0.5161432994250331,0.15772179627601315
12740052,0.513,0.8579978237214363,0.525858322468492,0.15636754433100483
12792052,0.5065,0.8560084700899947,0.5209580838323353,0.15
12844052,0.5088333333333334,0.8615304528891202,0.501612160294795,0.1619496855345912
12896052,0.494,0.8308026030368764,0.5076120052196608,0.14270328486806677
12948052,0.5055,0.865210442194992,0.5022747952684259,0.15844155844155844
13000052,0.5125,0.8781134075251722,0.5033738191632928,0.1582010582010582
13052052,0.49966666666666665,0.8644251626898047,0.49638336347197104,0.1574074074074074
13104052,0.5125,0.8589540412044374,0.5191956124314442,0.16310578426263678
13156052,0.509,0.8478488982161595,0.5142727684639783,0.16057233704292528
13208052,0.5386666666666666,0.8769149498151083,0.545372460496614,0.19238900634249473
13260052,0.5191666666666667,0.8663793103448276,0.5290933694181326,0.17332641411520497
13312052,0.5165,0.858842617631152,0.5253496503496503,0.16586151368760063
13364052,0.5198333333333334,0.8593418259023354,0.5289330922242315,0.17331932773109243
13416052,0.5266666666666666,0.8592207792207792,0.5346083788706739,0.1766897285790314
13468052,0.5285,0.8622340425531915,0.5373852208132925,0.1751227495908347
13520052,0.5246666666666666,0.8608650338718082,0.5246195165622203,0.17541959935029777
13572052,0.5023333333333333,0.8485488126649077,0.5002307337332718,0.16615067079463364
13624052,0.5146666666666667,0.8611702127659574,0.5101769911504425,0.16989247311827957
13676052,0.5298333333333334,0.8662851196670135,0.5480378890392422,0.16066630843632457
13728052,0.5136666666666667,0.870136698212408,0.5177664974619289,0.1579492490937338
13780052,0.516,0.8600844772967265,0.5258194881005838,0.15753060138371475
13832052,0.508,0.8482758620689655,0.5198927134555208,0.15228966986155484
13884052,0.5185,0.8734243697478992,0.5154777927321669,0.16014997321906801
13936052,0.5121666666666667,0.8562808557323094,0.5287769784172662,0.17204301075268819
13988052,0.5093333333333333,0.8482238966630786,0.5128989943156974,0.1654986522911051
14040052,0.5073333333333333,0.8399790136411333,0.5289256198347108,0.15187891440501045
14092052,0.5031666666666667,0.846350178662583,0.49885688157293095,0.14563106796116504
14144052,0.504,0.8534201954397395,0.5114503816793893,0.16209218021750388
14196052,0.499,0.8412532637075718,0.49262405006705406,0.15205627705627706
14248052,0.51,0.847769028871391,0.5147660154475239,0.16473072861668428
14300052,0.5043333333333333,0.8441896821261073,0.5038133692238672,0.15280777537796977
14352052,0.49983333333333335,0.8598726114649682,0.4878268710550045,0.1564805057955743
14404052,0.5031666666666667,0.861271676300578,0.4915178571428571,0.15024232633279483
14456052,0.508,0.8508085550339072,0.5018231540565178,0.16728427739544732
14508052,0.5175,0.8698666666666667,0.5215479331574319,0.15559157212317667
14560052,0.5123333333333333,0.8635650810245687,0.5142191142191143,0.16426364572605562
14612052,0.5095,0.8470651588583737,0.5274127775260534,0.1652892561983471
14664052,0.5255,0.8696319018404908,0.5246594645373415,0.17493472584856398
14716052,0.5305,0.8741152679474217,0.5291127541589649,0.16630785791173305
14768052,0.526,0.8496042216358839,0.5345744680851063,0.1838831800973499
14820052,0.5081666666666667,0.8639566395663957,0.5162423178226514,0.14864144912093766
14872052,0.5076666666666667,0.8584117032392894,0.5040723981900452,0.15405117270788912
14924052,0.49983333333333335,0.8414120126448894,0.5050228310502283,0.15481171548117154
14976052,0.5071666666666667,0.8641975308641975,0.5121059844677935,0.1601642710472279
15028052,0.5035,0.8603292618162507,0.49865107913669066,0.1542525092445853
15080052,0.5101666666666667,0.8471849865951743,0.5200705778561976,0.16167023554603854
15132052,0.5323333333333333,0.8720083246618107,0.5245683930942895,0.18306761957119297
15184052,0.5235,0.8667754214246873,0.5422343324250681,0.18019397651863195
15236052,0.5151666666666667,0.8537220197813639,0.5455820476858345,0.1463917525773196
15288052,0.5311666666666667,0.8728205128205129,0.5281207133058985,0.17713365539452497
15340052,0.5293333333333333,0.8821333333333333,0.5323159784560144,0.17712177121771217
15392052,0.5216666666666666,0.8719611021069692,0.519434628975265,0.18037135278514588
15444052,0.5096666666666667,0.8597063621533442,0.52896273013022,0.15460186142709412
15496052,0.5161666666666667,0.8676071622354856,0.5289855072463768,0.16931759876859928
15548052,0.5135,0.856029106029106,0.5233472029588534,0.1578672242550967
15600052,0.5288333333333334,0.8755930416447022,0.5182384341637011,0.18706199460916442
15652052,0.5306666666666666,0.8521421107628004,0.5359964881474978,0.1836283185840708
15704052,0.534,0.8759358288770054,0.5617229129662522,0.16027689030883918
15756052,0.5393333333333333,0.879957127545552,0.5431718061674009,0.1936695278969957
15808052,0.5076666666666667,0.8520900321543409,0.5188722146430196,0.16279069767441862
15860052,0.5253333333333333,0.8731070496083551,0.5309973045822103,0.16030123722431414
15912052,0.5086666666666667,0.8604269293924466,0.5157707685473123,0.1659729448491155
15964052,0.4861666666666667,0.8560267857142857,0.4883720930232558,0.1475659229208925
