timestep,reward
1958230,0.152
1962420,0.132
1967284,0.066
1971672,0.094
1976629,0.132
1981688,0.082
1986885,0.074
1991524,0.136
1996027,0.092
2000500,0.014
2005430,0.054
2009892,0.108
2014224,0.054
2018791,0.108
2023339,0.076
2028427,0.088
2033208,0.108
2038038,0.022
2042367,0.124
2046424,0.048
2051009,0.11
2055361,0.03
2060324,0.04
2065063,0.11
2069960,0.132
2074874,0.078
2079116,0.136
2083612,0.13
2087598,0.116
2092054,0.112
2097110,0.098
2101723,0.098
2105738,0.142
2110165,0.12
2114842,0.136
2119718,0.078
2124614,0.088
2129631,0.088
2134400,0.108
2139394,0.148
2144199,0.118
2148691,0.058
2153343,0.064
2157582,0.072
2162641,0.096
2167306,0.078
2172107,0.076
2176904,0.116
2181032,0.074
2185699,0.072
2190278,0.062
2195126,0.06
2199608,0.146
2203613,0.102
2207491,0.092
2212068,0.084
2217201,0.112
2221343,0.042
2225301,0.142
2229673,0.084
2234358,0.038
2239260,0.132
2244184,0.116
2249211,0.1
2253886,0.11
2258355,0.084
2263403,0.12
2268512,0.062
2273527,0.076
2278634,0.12
2283527,0.112
2287615,0.022
2292344,0.07
2296521,0.126
