timestep,reward
52,-0.12
5304,0.036
10504,-0.136
15704,-0.076
20904,0.056
26104,-0.252
31304,-0.076
36504,-0.248
41704,-0.252
46904,-0.22
52104,-0.072
57356,0.18
62556,0.188
67756,-0.2
72956,0.144
78156,-0.116
83356,-0.008
88556,-0.352
93756,0.208
98956,0.196
104156,0.152
109408,-0.508
114608,0.056
119808,0.004
125008,0.304
130208,-0.108
135408,-0.184
140608,-0.268
145808,0.264
151008,0.26
156208,0.068
161460,0.232
166660,-0.06
171860,-0.156
177060,-0.204
182260,-0.34
187460,0.616
192660,-0.04
197860,-0.172
203060,-0.968
208260,0.46
213512,0.048
218712,-0.696
223912,0.12
229112,0.18
234312,0.044
239512,-0.184
244712,-0.26
249912,-0.216
255112,-0.072
260312,0.128
265564,-0.184
270764,0.1
275964,0.2
281164,-0.072
286364,-0.276
291564,0.324
296764,-0.352
301964,0.42
307164,-0.284
312364,0.196
317616,0.264
322816,0.064
328016,0.64
333216,0.208
338416,0.604
343616,-0.004
348816,0.328
354016,0.328
359216,0.012
364416,0.608
369668,0.088
374868,-0.052
380068,0.336
385268,0.24
390468,-0.34
395668,0.28
400868,0.124
406068,-0.088
411268,0.464
416468,0.28
421720,0.296
426920,0.08
432120,-0.112
437320,0.18
442520,0.628
447720,0.672
452920,-0.008
458120,-0.184
463320,0.2
468520,0.04
473772,0.836
478972,0.584
484172,0.092
489372,0.12
494572,0.072
499772,0.128
504972,0.476
510172,0.14
515372,0.192
520572,0.2
525824,0.364
531024,-0.084
536224,0.276
541424,0.528
546624,0.348
551824,0.148
557024,-0.012
562224,0.284
567424,0.28
572624,0.652
577876,-0.328
583076,0.348
588276,0.16
593476,0.096
598676,0.156
603876,0.54
609076,0.16
614276,0.496
619476,-0.532
624676,0.372
629928,-0.092
635128,0.092
640328,-0.324
645528,0.228
650728,0.196
655928,-0.208
661128,0.12
666328,0.436
671528,-0.224
676728,0.136
681980,0.24
687180,-0.044
692380,-0.228
697580,0.196
702780,0.232
707980,0.116
713180,0.28
718380,0.4
723580,0.184
728780,0.264
734032,-0.404
739232,-0.032
744432,0.244
749632,0.624
754832,-0.284
760032,-0.072
765232,0.132
770432,0.232
775632,0.188
780832,0.172
786084,0.184
791284,0.18
796484,-0.04
801684,-0.008
806884,-0.204
812084,-0.492
817284,-0.052
822484,0.016
827684,0.112
832884,0.016
838136,-0.176
843336,-0.36
848536,0.1
853736,0.032
858936,0.676
864136,0.3
869336,0.028
874536,0.188
879736,0.384
884936,0.708
890188,0.688
895388,-0.08
900588,0.328
905788,0.296
910988,0.248
916188,0.288
921388,-0.124
926588,0.304
931788,-0.224
936988,0.104
942240,0.508
947440,0.032
952640,0.408
957840,0.252
963040,0.332
968240,0.072
973440,-0.02
978640,0.276
983840,-0.076
989040,0.356
994292,-0.2
999492,0.076
1004692,0.18
1009892,0.156
1015092,-0.392
1020292,-0.436
1025492,0.264
1030692,0.612
1035892,0.48
1041092,0.272
1046344,0.268
1051544,0.36
1056744,0.316
1061944,0.144
1067144,0.124
1072344,0.184
1077544,0.424
1082744,-0.064
1087944,0.244
1093144,-0.12
1098396,-0.216
1103596,0.092
1108796,0.412
1113996,0.072
1119196,0.56
1124396,0.184
1129596,0.748
1134796,0.32
1139996,0.128
1145196,-0.184
1150448,0.104
1155648,-0.096
1160848,0.628
1166048,0.06
1171248,0.02
1176448,0.732
1181648,-0.092
1186848,-0.14
1192048,-0.3
1197248,-0.116
1202500,-0.064
1207700,0.312
1212900,0.06
1218100,0.304
1223300,0.008
1228500,-0.04
1233700,0.464
1238900,0.2
1244100,0.208
1249300,0.044
1254552,-0.224
1259752,-0.112
1264952,0.036
1270152,0.276
1275352,0.368
1280552,0.484
1285752,-0.16
1290952,-0.02
1296152,-0.028
1301352,-0.308
1306604,0.164
1311804,0.072
1317004,0.24
1322204,0.192
1327404,0.484
1332604,-0.308
1337804,-0.016
1343004,0.404
1348204,-0.516
1353404,-0.168
1358656,-0.544
1363856,-0.252
1369056,-0.092
1374256,0.2
1379456,0.136
1384656,0.296
1389856,0.212
1395056,-0.204
1400256,0.048
1405456,0.08
1410708,0.596
1415908,-0.54
1421108,-0.156
1426308,-0.04
1431508,-0.1
1436708,0.532
1441908,0.536
1447108,0.796
1452308,0.364
1457508,-0.08
1462760,0.056
1467960,-0.536
1473160,0.016
1478360,0.428
1483560,-0.476
1488760,0.308
1493960,0.552
1499160,0.128
1504360,0.452
1509560,0.528
1514812,0.2
1520012,0.352
1525212,-0.036
1530412,-0.056
1535612,-0.06
1540812,0.196
1546012,0.712
1551212,0.18
1556412,0.388
1561612,-0.112
1566864,0.144
1572064,-0.04
1577264,-0.02
1582464,0.1
1587664,-0.376
1592864,-0.04
1598064,-0.34
1603264,-0.064
1608464,0.516
1613664,0.06
1618916,0.136
1624116,-0.152
1629316,0.144
1634516,0.18
1639716,0.148
1644916,0.352
1650116,0.032
1655316,-0.212
1660516,0.432
1665716,0.776
1670968,0.04
1676168,0.036
1681368,0.028
1686568,0.544
1691768,-0.332
1696968,0.08
1702168,0.176
1707368,0.24
1712568,-0.212
1717768,-0.124
1723020,0.34
1728220,-0.284
1733420,-0.124
1738620,-0.128
