timestep,reward
52,0.128
5252,0.116
10452,-0.116
15652,-0.032
20852,0.316
26052,0.084
31252,0.48
36452,0.388
41652,-0.24
46852,0.204
52052,0.02
57252,0.212
62452,-0.472
67652,0.268
72852,0.192
78052,0.268
83252,-0.42
88452,-0.184
93652,-0.108
98852,-0.22
104052,-0.1
109252,0.056
114452,-0.364
119652,-0.252
124852,0.368
130052,-0.58
135252,0.256
140452,0.388
145652,-0.18
150852,-0.308
156052,-0.46
161252,0.096
166452,-0.34
171652,-0.244
176852,-0.524
182052,-0.516
187252,0.488
192452,-0.428
197652,-0.22
202852,-0.484
208052,0.34
213252,-0.04
218452,0.284
223652,-0.176
228852,0.412
234052,0.308
239252,0.064
244452,0.016
249652,-0.184
254852,0.252
260052,0.184
265252,0.036
270452,0.224
275652,0.112
280852,0.212
286052,0.476
291252,0.748
296452,-0.184
301652,0.484
306852,0.28
312052,0.284
317252,0.2
322452,0.82
327652,0.076
332852,0.088
338052,0.164
343252,-0.412
348452,0.524
353652,-0.248
358852,0.132
364052,0.456
369252,-0.104
374452,0.156
379652,0.08
384852,-0.168
390052,-0.156
395252,-0.248
400452,-0.416
405652,0.264
410852,-0.14
416052,-0.072
421252,0.036
426452,-0.176
431652,-0.74
436852,0.248
442052,-0.116
447252,0.656
452452,-0.148
457652,-0.012
462852,-0.236
468052,-0.544
473252,-0.096
478452,0.276
483652,-0.14
488852,-0.636
494052,-0.12
499252,0.268
504452,0.412
509652,0.036
514852,-0.108
520052,0.128
525252,0.412
530452,0.552
535652,0.412
540852,0.46
546052,0.556
551252,0.244
556452,0.388
561652,-0.636
566852,0.724
572052,0.036
577252,0.3
582452,0.304
587652,0.304
592852,0.48
598052,0.464
603252,0.42
608452,0.22
613652,0.192
618852,0.112
624052,0.916
629252,0.056
634452,0.056
639652,0.3
644852,0.22
650052,0.656
655252,0.336
660452,0.376
665652,0.372
670852,-0.348
676052,-0.272
681252,-0.944
686452,-0.096
691652,-0.352
696852,-0.164
702052,-0.464
707252,-0.324
712452,0.116
717652,-0.38
722852,0.276
728052,0.32
733252,0.08
738452,0.904
743652,-0.24
748852,0.552
754052,0.32
759252,0.456
764452,0.524
769652,0.568
774852,0.38
780052,0.052
785252,0.528
790452,0.316
795652,0.244
800852,-0.052
806052,0.036
811252,0.252
816452,-0.22
821652,-0.22
826852,0.46
832052,0.164
837252,-0.12
842452,-0.016
847652,-0.196
852852,-0.492
858052,0.248
863252,0.116
