episodes,reward
0,0.016666666666666666
1000,-0.18766666666666668
2000,-0.10633333333333334
3000,-0.13433333333333333
4000,-0.43133333333333335
5000,0.091
6000,0.18066666666666667
7000,0.05433333333333333
8000,-0.06166666666666667
9000,0.15733333333333333
10000,-0.14833333333333334
11000,-0.35433333333333333
12000,-0.24633333333333332
13000,-0.625
14000,0.12733333333333333
15000,0.07466666666666667
16000,0.11
17000,-0.11733333333333333
18000,0.076
19000,-0.021
20000,0.10066666666666667
21000,0.25366666666666665
22000,0.033
23000,-0.094
24000,-0.275
25000,-0.128
26000,0.019
27000,0.11333333333333333
28000,0.021666666666666667
29000,0.043
30000,-0.22866666666666666
31000,0.288
32000,-0.10033333333333333
