timestep,reward
52,0.092
52052,-0.376
104052,-0.196
156052,-0.233
208052,-0.511
260052,-0.278
312052,-0.166
364052,-0.008
416052,-0.038
468052,0.22
520052,-0.218
572052,-0.103
624052,-0.26
676052,-0.33
728052,-0.087
780052,-0.196
832052,-0.224
884052,-0.08
936052,0.075
988052,-0.076
1040052,0.034
1092052,-0.174
1144052,-0.023
1196052,-0.113
1248052,-0.145
1300052,0.096
1352052,-0.139
1404052,-0.272
1456052,-0.03
1508052,0.028
1560052,0.216
1612052,-0.194
1664052,0.006
1716052,0.037
1768052,-0.038
1820052,-0.076
1872052,-0.087
1924052,-0.137
1976052,0.068
2028052,-0.064
2080052,0.272
2132052,-0.023
2184052,0.081
2236052,0.015
2288052,-0.173
2340052,-0.077
2392052,-0.076
2444052,-0.147
2496052,-0.121
2548052,0.037
2600052,-0.216
2652052,-0.19
2704052,-0.013
2756052,-0.047
2808052,0.077
2860052,0.106
2912052,-0.131
2964052,0.278
3016052,0.177
3068052,0.016
3120052,0.064
3172052,-0.007
3224052,-0.169
3276052,0.182
3328052,-0.194
3380052,-0.192
3432052,-0.079
3484052,0.126
3536052,0.197
3588052,0.052
3640052,-0.234
3692052,-0.047
3744052,-0.083
3796052,0.179
3848052,0.015
3900052,0.17
3952052,0.226
4004052,0.112
4056052,-0.044
4108052,0.192
4160052,-0.024
4212052,0.028
4264052,0.174
4316052,0.221
4368052,0.306
4420052,-0.163
4472052,0.093
4524052,-0.012
4576052,-0.01
4628052,0.219
4680052,-0.001
4732052,0.151
4784052,0.007
4836052,0.247
4888052,0.047
4940052,0.215
4992052,-0.131
5044052,0.151
5096052,-0.007
5148052,-0.195
5200052,0.049
5252052,0.072
5304052,0.115
5356052,0.389
5408052,0.069
5460052,0.033
5512052,0.025
5564052,-0.127
5616052,-0.107
5668052,0.106
5720052,-0.413
5772052,0.159
5824052,0.156
5876052,-0.05
5928052,-0.111
5980052,-0.058
6032052,0.089
6084052,0.027
6136052,0.207
6188052,0.224
6240052,0.166
6292052,-0.07
6344052,-0.213
6396052,-0.025
6448052,-0.37
6500052,-0.006
6552052,-0.266
6604052,-0.298
6656052,0.05
6708052,-0.077
6760052,-0.035
6812052,-0.359
6864052,-0.135
6916052,0.171
6968052,0.098
7020052,0.099
7072052,0.092
7124052,0.267
7176052,0.268
7228052,-0.065
7280052,-0.022
7332052,-0.003
7384052,-0.154
7436052,0.099
7488052,0.083
7540052,-0.12
7592052,0.476
7644052,0.09
7696052,0.253
7748052,-0.056
7800052,-0.188
7852052,0.182
7904052,-0.003
7956052,0.147
8008052,0.027
8060052,0.048
8112052,-0.099
8164052,0.318
8216052,0.186
8268052,0.261
8320052,0.179
8372052,0.126
8424052,0.209
8476052,0.367
8528052,0.061
8580052,0.146
8632052,-0.227
8684052,0.071
8736052,-0.037
8788052,0.067
8840052,0.108
8892052,0.084
8944052,0.287
8996052,0.213
9048052,0.158
9100052,0.296
9152052,0.115
9204052,0.222
9256052,-0.185
9308052,-0.053
9360052,-0.138
9412052,0.009
9464052,0.017
9516052,-0.092
9568052,0.259
9620052,0.15
9672052,0.155
9724052,0.19
9776052,0.184
9828052,0.392
9880052,0.013
9932052,0.132
9984052,0.3
10036052,0.381
10088052,0.058
10140052,0.231
10192052,-0.087
10244052,0.244
10296052,0.11
10348052,0.21
