timestep,win rate
52,0.505
52052,0.435
104052,0.42
156052,0.505
208052,0.465
260052,0.495
312052,0.495
364052,0.465
416052,0.475
468052,0.46
520052,0.445
572052,0.48
624052,0.455
676052,0.46
728052,0.485
780052,0.51
832052,0.435
884052,0.51
936052,0.5
988052,0.54
1040052,0.485
1092052,0.435
1144052,0.465
1196052,0.505
1248052,0.475
1300052,0.505
1352052,0.505
1404052,0.48
1456052,0.48
1508052,0.45
1560052,0.515
1612052,0.525
1664052,0.47
1716052,0.515
1768052,0.55
1820052,0.47
1872052,0.51
1924052,0.52
1976052,0.495
2028052,0.465
2080052,0.475
2132052,0.53
2184052,0.535
2236052,0.485
2288052,0.48
2340052,0.48
2392052,0.48
2444052,0.595
2496052,0.535
2548052,0.53
2600052,0.475
2652052,0.505
2704052,0.52
2756052,0.46
2808052,0.47
2860052,0.505
2912052,0.485
2964052,0.44
3016052,0.495
3068052,0.44
3120052,0.485
3172052,0.49
3224052,0.48
3276052,0.475
3328052,0.4
3380052,0.47
3432052,0.445
3484052,0.485
3536052,0.495
3588052,0.515
3640052,0.435
3692052,0.47
3744052,0.535
3796052,0.51
3848052,0.525
3900052,0.505
3952052,0.475
4004052,0.46
4056052,0.58
4108052,0.55
4160052,0.51
4212052,0.525
4264052,0.54
4316052,0.515
4368052,0.485
4420052,0.54
4472052,0.485
4524052,0.465
4576052,0.52
4628052,0.575
4680052,0.53
4732052,0.465
4784052,0.54
