timestep,reward
52,-0.094
5252,0.068
10452,-0.438
15652,0.114
20852,0.068
26052,-0.208
31252,-0.028
36452,0.016
41652,-0.264
46852,-0.216
52052,-0.13
57252,-0.148
62452,-0.14
67652,0.058
72852,-0.306
78052,-0.064
83252,-0.192
88452,0.14
93652,0.224
98852,-0.106
104052,0.28
109252,-0.014
114452,-0.246
119652,0.292
124852,-0.162
130052,-0.108
135252,0.202
140452,0.074
145652,-0.226
150852,-0.086
156052,-0.134
161252,0.148
166452,-0.19
171652,0.088
176852,0.162
182052,-0.03
187252,0.354
192452,0.054
197652,0.2
202852,0.046
208052,0.12
213252,-0.15
218452,-0.048
223652,-0.138
228852,-0.56
234052,0.002
239252,-0.048
244452,0.212
249652,0.02
254852,0.314
260052,-0.03
265252,-0.24
270452,0.312
275652,0.014
280852,-0.542
286052,0.002
291252,-0.136
296452,-0.236
301652,-0.052
306852,-0.064
312052,0.18
317252,0.14
322452,-0.332
327652,-0.052
332852,0.516
338052,-0.294
343252,-0.794
348452,0.376
353652,0.23
358852,0.004
364052,0.004
369252,-0.13
374452,-0.052
379652,-0.234
384852,0.174
390052,-0.326
395252,-0.166
400452,0.266
405652,0.012
410852,0.082
416052,-0.132
421252,0.27
426452,0.188
431652,0.13
436852,0.284
442052,-0.12
447252,0.356
452452,-0.01
457652,0.134
462852,-0.324
468052,0.028
473252,-0.22
478452,-0.004
483652,-0.144
488852,-0.296
494052,0.264
499252,-0.194
504452,0.08
509652,0.194
514852,-0.246
520052,0.194
525252,-0.19
530452,0.146
535652,-0.256
540852,-0.108
546052,0.176
551252,0.084
556452,-0.202
561652,-0.112
566852,0.06
572052,0.236
577252,0.05
582452,0.088
587652,-0.05
592852,-0.162
598052,0.318
603252,0.11
608452,0.102
613652,-0.03
618852,-0.098
624052,-0.364
629252,0.258
634452,0.056
639652,-0.202
644852,-0.326
650052,0.14
655252,-0.054
660452,0.08
665652,0.076
670852,0.212
676052,0.34
681252,0.052
686452,0.156
691652,-0.02
696852,0.51
702052,0.268
707252,0.124
712452,-0.132
717652,-0.054
722852,0.068
728052,0.198
733252,-0.272
738452,-0.1
743652,0.21
748852,0.304
754052,0.114
759252,0.0
764452,0.438
769652,0.052
774852,0.034
780052,0.31
785252,0.0
790452,0.232
795652,0.008
800852,-0.216
806052,0.208
811252,0.086
816452,-0.238
821652,-0.196
826852,-0.228
832052,-0.06
837252,-0.08
842452,-0.172
847652,-0.166
852852,0.174
858052,0.146
863252,-0.212
868452,0.218
873652,0.08
878852,0.262
884052,-0.162
889252,-0.382
894452,-0.114
899652,0.36
904852,-0.01
910052,0.136
915252,-0.23
920452,0.282
925652,0.088
930852,-0.336
936052,-0.042
941252,0.448
946452,-0.002
951652,0.044
956852,0.202
962052,0.34
967252,-0.184
972452,0.212
977652,0.192
982852,0.248
988052,0.482
993252,-0.24
998452,-0.052
1003652,0.086
1008852,-0.104
1014052,-0.238
1019252,0.032
1024452,-0.178
1029652,0.366
1034852,0.348
1040052,-0.012
1045252,0.078
1050452,-0.144
1055652,0.054
1060852,0.024
1066052,0.11
1071252,-0.172
1076452,-0.11
1081652,0.212
1086852,0.69
1092052,-0.138
1097252,0.366
1102452,0.114
1107652,0.37
1112852,0.004
1118052,0.292
1123252,0.388
1128452,0.18
1133652,0.148
1138852,-0.134
1144052,-0.184
1149252,-0.076
1154452,0.134
1159652,0.116
1164852,0.236
1170052,0.128
1175252,0.184
1180452,0.12
1185652,-0.146
1190852,-0.24
1196052,-0.308
1201252,0.08
1206452,0.014
1211652,0.194
1216852,-0.242
1222052,0.028
1227252,0.198
1232452,0.228
1237652,-0.166
1242852,0.096
1248052,0.05
1253252,0.01
1258452,0.078
1263652,-0.114
1268852,-0.234
1274052,0.172
1279252,-0.112
1284452,-0.062
1289652,-0.144
1294852,-0.22
1300052,0.06
1305252,0.336
1310452,-0.142
1315652,0.058
1320852,0.132
1326052,0.198
1331252,-0.144
1336452,-0.102
1341652,-0.098
1346852,0.1
1352052,0.028
1357252,-0.272
1362452,-0.04
1367652,0.14
1372852,-0.046
1378052,-0.144
1383252,0.192
1388452,-0.094
1393652,0.078
1398852,-0.244
1404052,0.08
1409252,-0.128
1414452,-0.028
1419652,-0.276
1424852,0.016
1430052,-0.052
1435252,0.274
1440452,0.384
1445652,-0.24
1450852,-0.202
1456052,-0.18
1461252,-0.056
1466452,-0.172
1471652,-0.268
1476852,-0.082
1482052,0.01
1487252,-0.166
1492452,-0.092
1497652,0.0
1502852,0.424
1508052,0.152
1513252,0.078
1518452,-0.118
1523652,0.174
1528852,0.136
1534052,0.126
1539252,-0.002
1544452,-0.03
1549652,-0.444
1554852,-0.028
1560052,0.048
1565252,0.106
1570452,-0.198
1575652,-0.004
1580852,-0.22
1586052,0.188
1591252,0.292
1596452,-0.014
1601652,0.0
1606852,0.088
1612052,0.174
1617252,0.014
1622452,-0.116
1627652,0.292
1632852,0.128
1638052,0.108
1643252,0.16
1648452,0.0
1653652,0.102
1658852,0.02
1664052,-0.122
1669252,-0.096
1674452,0.176
1679652,0.086
1684852,0.35
1690052,0.254
1695252,0.24
1700452,0.106
1705652,0.14
1710852,-0.066
1716052,0.428
1721252,0.28
1726452,0.252
1731652,0.04
1736852,0.294
1742052,0.39
1747252,0.08
1752452,0.33
1757652,0.306
1762852,0.214
1768052,0.078
1773252,0.286
1778452,0.196
1783652,-0.006
1788852,-0.088
1794052,-0.002
1799252,0.156
1804452,0.384
1809652,0.228
1814852,-0.046
1820052,0.072
1825252,0.202
1830452,-0.108
1835652,-0.016
1840852,0.146
1846052,-0.096
1851252,0.04
1856452,0.14
1861652,-0.002
1866852,-0.02
1872052,0.008
1877252,0.204
1882452,0.142
1887652,0.078
1892852,0.294
1898052,0.308
1903252,0.04
1908452,0.174
1913652,0.298
1918852,0.074
1924052,0.138
1929252,0.226
1934452,-0.01
1939652,0.0
1944852,0.208
1950052,0.252
1955252,0.124
1960452,0.46
1965652,0.21
1970852,0.454
1976052,0.234
1981252,0.42
1986452,0.31
1991652,0.104
1996852,0.15
2002052,0.474
2007252,0.34
2012452,0.194
2017652,0.134
2022852,-0.042
2028052,0.156
2033252,0.35
2038452,-0.13
2043652,0.316
2048852,0.6
2054052,0.46
2059252,0.11
2064452,0.188
2069652,0.166
2074852,0.118
2080052,0.14
2085252,0.234
2090452,0.304
2095652,0.242
2100852,0.08
2106052,0.202
2111252,0.096
2116452,0.084
2121652,0.128
2126852,0.142
2132052,0.33
2137252,0.172
2142452,0.288
2147652,0.096
2152852,0.308
2158052,0.11
2163252,0.348
2168452,0.552
2173652,0.332
2178852,0.174
2184052,0.336
2189252,0.466
2194452,0.456
2199652,0.058
2204852,0.242
2210052,0.104
2215252,0.37
2220452,0.564
2225652,0.252
2230852,0.292
2236052,0.166
2241252,0.388
2246452,0.202
2251652,0.26
2256852,0.428
2262052,0.698
2267252,0.018
2272452,0.2
2277652,0.48
2282852,0.52
2288052,0.398
2293252,0.326
2298452,0.494
2303652,0.158
2308852,0.452
2314052,0.462
2319252,0.456
2324452,0.292
2329652,0.434
2334852,0.224
2340052,0.514
2345252,0.452
2350452,0.284
2355652,0.434
2360852,0.732
2366052,0.31
2371252,0.46
2376452,0.398
2381652,0.356
2386852,0.382
2392052,0.568
2397252,0.538
2402452,0.596
2407652,0.416
2412852,0.41
2418052,0.268
2423252,0.14
2428452,0.716
2433652,0.43
2438852,0.226
2444052,-0.008
2449252,0.262
2454452,0.462
2459652,0.528
2464852,0.24
2470052,0.02
2475252,0.16
2480452,0.3
2485652,0.188
2490852,0.246
2496052,0.158
2501252,0.214
2506452,0.308
2511652,0.206
2516852,0.31
2522052,0.154
2527252,0.276
2532452,0.16
2537652,0.18
2542852,0.132
2548052,0.256
2553252,0.296
2558452,0.316
2563652,0.394
2568852,0.184
2574052,-0.006
2579252,0.378
2584452,0.104
2589652,-0.008
2594852,0.216
2600052,0.388
2605252,0.038
2610452,0.236
2615652,0.544
2620852,0.134
2626052,0.418
2631252,0.142
2636452,0.374
2641652,0.214
2646852,0.298
2652052,0.12
2657252,0.22
2662452,0.304
2667652,0.298
2672852,0.002
2678052,0.206
2683252,-0.022
2688452,0.3
2693652,0.318
2698852,0.122
2704052,0.194
2709252,-0.132
2714452,0.178
2719652,0.12
2724852,0.172
2730052,0.258
2735252,0.156
2740452,-0.076
2745652,0.08
2750852,0.046
2756052,0.2
2761252,0.174
2766452,0.164
2771652,0.316
2776852,0.334
2782052,0.138
2787252,0.45
2792452,0.532
2797652,0.216
2802852,0.454
2808052,0.122
2813252,0.22
2818452,0.334
2823652,0.17
2828852,0.15
2834052,0.31
2839252,0.278
2844452,0.286
2849652,0.108
2854852,0.198
2860052,0.09
2865252,0.366
2870452,0.222
2875652,-0.054
2880852,-0.032
2886052,0.39
2891252,0.26
2896452,-0.008
2901652,-0.072
2906852,0.132
2912052,0.27
2917252,0.104
2922452,-0.01
2927652,-0.024
2932852,0.208
2938052,0.182
2943252,-0.038
2948452,-0.028
2953652,0.066
2958852,0.074
2964052,0.318
2969252,-0.138
2974452,-0.056
2979652,0.074
2984852,-0.016
2990052,-0.076
2995252,-0.12
3000452,-0.054
3005652,-0.048
3010852,0.08
3016052,-0.028
3021252,0.098
3026452,0.182
3031652,0.128
3036852,0.204
3042052,0.228
3047252,-0.126
3052452,-0.202
3057652,0.328
3062852,0.022
3068052,-0.15
3073252,-0.214
3078452,-0.112
3083652,0.102
3088852,-0.012
3094052,0.12
3099252,0.068
3104452,-0.022
3109652,0.372
3114852,0.07
3120052,-0.006
3125252,0.134
3130452,0.116
3135652,0.308
3140852,0.44
3146052,0.31
3151252,0.216
3156452,0.042
3161652,0.346
3166852,0.018
3172052,0.366
3177252,0.04
3182452,-0.082
3187652,0.06
3192852,0.348
3198052,0.28
3203252,-0.05
3208452,0.206
3213652,0.072
3218852,0.184
3224052,0.086
3229252,-0.062
3234452,0.122
3239652,0.298
3244852,-0.06
3250052,0.15
3255252,0.048
3260452,0.11
3265652,-0.046
3270852,0.002
3276052,0.182
3281252,-0.062
3286452,0.096
3291652,-0.176
3296852,-0.022
3302052,0.192
3307252,-0.158
3312452,0.122
3317652,-0.108
3322852,-0.01
3328052,-0.006
3333252,-0.002
3338452,0.162
3343652,0.176
3348852,0.146
3354052,0.182
3359252,0.382
3364452,0.214
3369652,0.316
3374852,-0.112
3380052,0.274
3385252,0.468
3390452,0.008
3395652,0.444
3400852,0.328
3406052,0.326
3411252,-0.044
3416452,0.316
3421652,0.532
3426852,0.352
3432052,0.266
3437252,0.246
3442452,0.062
3447652,0.084
3452852,0.258
3458052,0.274
3463252,-0.016
3468452,0.152
3473652,-0.096
3478852,0.086
3484052,0.242
3489252,0.218
3494452,-0.082
3499652,0.104
3504852,0.15
3510052,0.138
3515252,0.014
3520452,-0.078
3525652,-0.08
3530852,0.16
3536052,-0.066
3541252,0.41
3546452,0.23
3551652,0.386
3556852,-0.114
3562052,-0.176
3567252,0.094
3572452,0.204
3577652,-0.03
3582852,-0.128
3588052,0.184
3593252,0.25
3598452,0.144
3603652,0.458
3608852,0.018
3614052,0.198
3619252,0.036
3624452,0.102
3629652,-0.052
3634852,0.056
3640052,0.0
3645252,0.052
3650452,0.074
3655652,0.148
3660852,0.308
3666052,0.15
3671252,-0.046
3676452,0.182
3681652,-0.18
3686852,0.208
3692052,0.134
3697252,0.1
