timestep,win rate,win rate easy,win rate medium,win rate hard
52,0.4965,0.8697068403908795,0.4637305699481865,0.16449511400651465
52052,0.497,0.8305084745762712,0.5035360678925035,0.15372670807453417
104052,0.4935,0.8405103668261563,0.4918918918918919,0.15165876777251186
156052,0.4895,0.8262243285939969,0.49097938144329895,0.12690355329949238
208052,0.469,0.8027950310559007,0.4550561797752809,0.15062111801242237
260052,0.5055,0.8615635179153095,0.5131926121372031,0.1480891719745223
312052,0.4995,0.8796147672552167,0.48677248677248675,0.13365539452495975
364052,0.472,0.8133971291866029,0.4594594594594595,0.1484992101105845
416052,0.4925,0.8202995008319468,0.5311258278145695,0.14130434782608695
468052,0.5145,0.8705148205928237,0.5,0.15537190082644628
520052,0.503,0.8378378378378378,0.48391608391608393,0.16478190630048464
572052,0.502,0.8328025477707006,0.5148095909732017,0.17496229260935142
624052,0.4965,0.849025974025974,0.5013404825737265,0.15047021943573669
676052,0.498,0.8541996830427893,0.47121820615796517,0.16881028938906753
728052,0.5095,0.8328173374613003,0.5175675675675676,0.15960912052117263
780052,0.5025,0.8350983358547656,0.4940239043824701,0.13822525597269625
832052,0.506,0.8496835443037974,0.5094850948509485,0.15714285714285714
884052,0.476,0.8134453781512605,0.4920424403183024,0.1490015360983103
936052,0.4935,0.8471138845553822,0.4743935309973046,0.14910858995137763
988052,0.52,0.8547400611620795,0.508843537414966,0.1751227495908347
1040052,0.493,0.8623548922056384,0.5061898211829436,0.14626865671641792
1092052,0.502,0.8752,0.508130081300813,0.12872841444270017
1144052,0.486,0.8172043010752689,0.5041436464088398,0.12
1196052,0.498,0.8451816745655608,0.5026666666666667,0.13614262560777957
1248052,0.5125,0.8596491228070176,0.5106100795755968,0.1631663974151858
1300052,0.4825,0.8344370860927153,0.47506561679790027,0.15615141955835962
1352052,0.518,0.8461538461538461,0.5175675675675676,0.18298555377207062
1404052,0.492,0.8460291734197731,0.5081967213114754,0.1382488479262673
1456052,0.4755,0.8238172920065253,0.47877984084880637,0.13428120063191154
1508052,0.481,0.8486842105263158,0.4801587301587302,0.13050314465408805
1560052,0.507,0.8619582664526485,0.5287049399198932,0.12898089171974522
1612052,0.4755,0.8316666666666667,0.4866666666666667,0.13384615384615384
1664052,0.5075,0.8553846153846154,0.5013404825737265,0.14072847682119205
1716052,0.503,0.8279569892473119,0.5231884057971015,0.16084977238239756
1768052,0.5035,0.8536977491961415,0.4961439588688946,0.15
1820052,0.5085,0.8727858293075684,0.5,0.1600633914421553
1872052,0.475,0.8175787728026535,0.4946091644204852,0.13740458015267176
1924052,0.4955,0.8453125,0.4972067039106145,0.14596273291925466
1976052,0.5195,0.8503937007874016,0.521505376344086,0.178743961352657
2028052,0.5135,0.8472222222222222,0.5325936199722607,0.14896988906497624
2080052,0.482,0.8447712418300654,0.45618556701030927,0.15196078431372548
2132052,0.4825,0.8538102643856921,0.4645776566757493,0.12038523274478331
2184052,0.507,0.843939393939394,0.49791955617198336,0.1583198707592892
2236052,0.514,0.8489326765188834,0.5101265822784811,0.17970049916805325
2288052,0.4755,0.8271604938271605,0.48783977110157367,0.11332312404287902
2340052,0.4935,0.8467614533965245,0.48751642575558474,0.132013201320132
2392052,0.502,0.87,0.5132978723404256,0.14814814814814814
2444052,0.489,0.858678955453149,0.4949784791965567,0.11349693251533742
2496052,0.5145,0.838810641627543,0.5179760319573902,0.17049180327868851
2548052,0.5085,0.8405103668261563,0.5342465753424658,0.15552099533437014
2600052,0.5005,0.867330016583748,0.4980289093298292,0.15566037735849056
2652052,0.5085,0.860655737704918,0.5111695137976346,0.16375198728139906
2704052,0.5145,0.8678071539657853,0.5205091937765205,0.15846153846153846
2756052,0.508,0.8517915309446255,0.5341530054644809,0.1559633027522936
2808052,0.505,0.8848,0.4797843665768194,0.15955766192733017
2860052,0.508,0.8472440944881889,0.5172890733056709,0.16199376947040497
2912052,0.517,0.8539156626506024,0.505524861878453,0.1650326797385621
