timestep,reward
52,0.051
52052,0.035
104052,-0.183
156052,-0.005
208052,-0.354
260052,-0.018
312052,-0.012
364052,-0.312
416052,-0.062
468052,0.189
520052,-0.004
572052,0.043
624052,-0.124
676052,0.096
728052,0.113
780052,0.016
832052,0.064
884052,-0.151
936052,-0.071
988052,0.111
1040052,-0.078
1092052,-0.016
1144052,-0.159
1196052,-0.009
1248052,0.141
1300052,-0.123
1352052,0.046
1404052,-0.119
1456052,-0.131
1508052,-0.209
1560052,0.148
1612052,-0.351
1664052,0.117
1716052,-0.049
1768052,-0.014
1820052,0.095
1872052,-0.138
1924052,-0.171
1976052,0.207
2028052,0.142
2080052,-0.112
2132052,-0.233
2184052,0.095
2236052,0.085
2288052,-0.234
2340052,-0.078
2392052,0.114
2444052,-0.109
2496052,0.204
2548052,0.036
2600052,-0.042
2652052,0.115
2704052,0.187
2756052,0.076
2808052,0.078
2860052,-0.012
2912052,0.173
2964052,0.022
3016052,-0.244
3068052,0.191
3120052,0.223
3172052,-0.201
3224052,0.077
3276052,0.168
3328052,0.281
3380052,-0.02
3432052,0.054
3484052,0.134
3536052,0.321
3588052,0.055
3640052,0.059
3692052,0.134
3744052,0.111
3796052,0.077
3848052,-0.001
3900052,0.259
3952052,0.087
4004052,-0.013
4056052,0.051
4108052,0.19
4160052,0.092
4212052,-0.007
4264052,0.324
4316052,0.021
4368052,0.206
4420052,-0.06
4472052,0.247
4524052,0.116
4576052,0.146
4628052,0.34
4680052,0.273
4732052,0.064
4784052,0.223
4836052,0.126
4888052,0.191
4940052,0.136
4992052,0.102
5044052,0.092
5096052,0.052
5148052,0.099
5200052,0.023
5252052,0.19
5304052,0.111
5356052,0.074
5408052,0.164
5460052,0.372
5512052,0.24
5564052,0.179
5616052,0.022
5668052,0.059
5720052,-0.034
5772052,0.191
5824052,0.206
5876052,-0.234
5928052,0.072
5980052,0.094
6032052,0.202
6084052,0.196
6136052,0.123
6188052,-0.004
6240052,-0.034
6292052,0.107
6344052,0.008
6396052,-0.153
6448052,0.001
6500052,0.108
6552052,0.033
6604052,0.296
6656052,0.067
6708052,-0.066
6760052,-0.021
6812052,0.078
6864052,-0.028
6916052,0.205
6968052,0.033
7020052,-0.162
7072052,-0.054
7124052,0.412
7176052,0.173
7228052,-0.03
7280052,0.194
7332052,0.135
7384052,0.006
7436052,0.201
7488052,0.06
7540052,0.068
7592052,0.001
7644052,0.114
7696052,0.107
7748052,-0.078
7800052,0.04
7852052,-0.042
7904052,0.1
7956052,-0.023
8008052,-0.035
8060052,-0.182
8112052,-0.093
