episodes,win rate,win rate easy,win rate medium,win rate hard
0,0.305,0.7368421052631579,0.20987654320987653,0.03225806451612903
1000,0.3,0.6724137931034483,0.23684210526315788,0.045454545454545456
2000,0.27,0.6538461538461539,0.21176470588235294,0.031746031746031744
3000,0.25,0.546875,0.18571428571428572,0.030303030303030304
4000,0.27,0.6307692307692307,0.14285714285714285,0.046153846153846156
5000,0.235,0.5,0.15151515151515152,0.016129032258064516
6000,0.24,0.6666666666666666,0.15294117647058825,0.015625
7000,0.27,0.5789473684210527,0.26666666666666666,0.014705882352941176
8000,0.18,0.47368421052631576,0.07894736842105263,0.04477611940298507
9000,0.27,0.6379310344827587,0.2,0.016129032258064516
10000,0.245,0.625,0.1780821917808219,0.014084507042253521
11000,0.285,0.6557377049180327,0.1927710843373494,0.017857142857142856
12000,0.265,0.6896551724137931,0.19047619047619047,0.012658227848101266
13000,0.315,0.6865671641791045,0.2077922077922078,0.017857142857142856
14000,0.18,0.4576271186440678,0.10975609756097561,0.0
15000,0.28,0.5384615384615384,0.19047619047619047,0.03389830508474576
16000,0.26,0.6984126984126984,0.09230769230769231,0.027777777777777776
17000,0.25,0.5416666666666666,0.1388888888888889,0.017857142857142856
18000,0.325,0.6172839506172839,0.16666666666666666,0.06382978723404255
19000,0.26,0.5737704918032787,0.203125,0.05333333333333334
20000,0.21,0.4722222222222222,0.11267605633802817,0.0
21000,0.255,0.5409836065573771,0.2222222222222222,0.029850746268656716
22000,0.28,0.5671641791044776,0.2,0.06349206349206349
23000,0.35,0.6388888888888888,0.2647058823529412,0.1
24000,0.23,0.5238095238095238,0.16,0.016129032258064516
25000,0.24,0.5254237288135594,0.18309859154929578,0.05714285714285714
26000,0.31,0.7049180327868853,0.23076923076923078,0.01639344262295082
27000,0.285,0.640625,0.18309859154929578,0.046153846153846156
28000,0.27,0.5303030303030303,0.2602739726027397,0.0
29000,0.19,0.4528301886792453,0.16883116883116883,0.014285714285714285
30000,0.295,0.5833333333333334,0.2112676056338028,0.03508771929824561
31000,0.28,0.5373134328358209,0.2638888888888889,0.01639344262295082
32000,0.205,0.42857142857142855,0.2028985507246377,0.0
33000,0.285,0.647887323943662,0.1111111111111111,0.05263157894736842
34000,0.305,0.6212121212121212,0.2753623188405797,0.015384615384615385
35000,0.27,0.5873015873015873,0.18055555555555555,0.06153846153846154
36000,0.24,0.6346153846153846,0.18461538461538463,0.03614457831325301
37000,0.23,0.6346153846153846,0.14942528735632185,0.0
38000,0.33,0.7142857142857143,0.2875,0.046875
39000,0.285,0.6,0.13846153846153847,0.05
40000,0.275,0.639344262295082,0.2,0.0
41000,0.245,0.5901639344262295,0.16176470588235295,0.028169014084507043
42000,0.28,0.6190476190476191,0.2,0.04477611940298507
43000,0.265,0.5652173913043478,0.18032786885245902,0.04285714285714286
44000,0.315,0.6060606060606061,0.30303030303030304,0.04411764705882353
45000,0.23,0.6,0.17721518987341772,0.028169014084507043
46000,0.235,0.5789473684210527,0.16049382716049382,0.016129032258064516
47000,0.27,0.5625,0.20253164556962025,0.03508771929824561
48000,0.275,0.5492957746478874,0.18461538461538463,0.0625
49000,0.23,0.4626865671641791,0.18292682926829268,0.0
50000,0.215,0.5,0.17857142857142858,0.0
51000,0.22,0.5333333333333333,0.15789473684210525,0.0
52000,0.3,0.5857142857142857,0.24615384615384617,0.046153846153846156
53000,0.34,0.6851851851851852,0.3103448275862069,0.06779661016949153
54000,0.225,0.5849056603773585,0.16666666666666666,0.014492753623188406
55000,0.22,0.5161290322580645,0.15942028985507245,0.014492753623188406
56000,0.285,0.6491228070175439,0.2328767123287671,0.04285714285714286
57000,0.29,0.6268656716417911,0.23529411764705882,0.0
58000,0.26,0.6166666666666667,0.17333333333333334,0.03076923076923077
59000,0.33,0.64,0.2459016393442623,0.046875
60000,0.325,0.711864406779661,0.25675675675675674,0.05970149253731343
61000,0.23,0.5535714285714286,0.1744186046511628,0.0
62000,0.23,0.5471698113207547,0.17073170731707318,0.046153846153846156
63000,0.355,0.7246376811594203,0.2727272727272727,0.046153846153846156
64000,0.335,0.6621621621621622,0.2608695652173913,0.0
65000,0.19,0.39285714285714285,0.15730337078651685,0.03636363636363636
66000,0.215,0.5833333333333334,0.17647058823529413,0.0
67000,0.275,0.5925925925925926,0.25301204819277107,0.031746031746031744
68000,0.235,0.6071428571428571,0.15789473684210525,0.014705882352941176
69000,0.255,0.576271186440678,0.21333333333333335,0.015151515151515152
70000,0.24,0.5384615384615384,0.25,0.0
71000,0.25,0.6521739130434783,0.25,0.03488372093023256
72000,0.315,0.59375,0.2727272727272727,0.06779661016949153
73000,0.31,0.59375,0.26582278481012656,0.05263157894736842
74000,0.295,0.6666666666666666,0.17105263157894737,0.034482758620689655
75000,0.28,0.6071428571428571,0.25,0.04411764705882353
76000,0.295,0.6052631578947368,0.19402985074626866,0.0
77000,0.29,0.6142857142857143,0.21739130434782608,0.0
78000,0.32,0.7321428571428571,0.2682926829268293,0.016129032258064516
79000,0.28,0.5606060606060606,0.2125,0.037037037037037035
80000,0.315,0.6551724137931034,0.27906976744186046,0.017857142857142856
81000,0.245,0.5254237288135594,0.21518987341772153,0.016129032258064516
82000,0.29,0.64,0.109375,0.04918032786885246
83000,0.21,0.5094339622641509,0.17647058823529413,0.0
84000,0.295,0.6885245901639344,0.21052631578947367,0.015873015873015872
85000,0.29,0.6216216216216216,0.17647058823529413,0.0
86000,0.255,0.5441176470588235,0.17105263157894737,0.017857142857142856
87000,0.31,0.6578947368421053,0.125,0.057692307692307696
88000,0.3,0.6610169491525424,0.24050632911392406,0.03225806451612903
89000,0.215,0.48148148148148145,0.189873417721519,0.029850746268656716
90000,0.215,0.5,0.18309859154929578,0.0273972602739726
91000,0.26,0.5277777777777778,0.1917808219178082,0.0
92000,0.21,0.6170212765957447,0.13953488372093023,0.014925373134328358
93000,0.26,0.5714285714285714,0.1794871794871795,0.03389830508474576
94000,0.27,0.5245901639344263,0.273972602739726,0.030303030303030304
95000,0.29,0.6615384615384615,0.19672131147540983,0.04054054054054054
96000,0.22,0.5,0.13924050632911392,0.0
97000,0.32,0.6233766233766234,0.22580645161290322,0.03278688524590164
98000,0.25,0.5636363636363636,0.22077922077922077,0.029411764705882353
99000,0.23,0.5357142857142857,0.2077922077922078,0.0
100000,0.285,0.6166666666666667,0.20454545454545456,0.038461538461538464
101000,0.29,0.6181818181818182,0.25609756097560976,0.047619047619047616
102000,0.285,0.6779661016949152,0.24242424242424243,0.013333333333333334
103000,0.235,0.5,0.19480519480519481,0.031746031746031744
104000,0.33,0.6621621621621622,0.25806451612903225,0.015625
105000,0.205,0.5490196078431373,0.1643835616438356,0.013157894736842105
