episodes,reward
0,0.06833333333333333
1000,-0.034333333333333334
2000,-0.24266666666666667
3000,0.07166666666666667
4000,-0.29133333333333333
5000,0.11
6000,-0.020666666666666667
7000,0.15333333333333332
8000,-0.068
9000,-0.18933333333333333
10000,-0.261
11000,-0.23
12000,-0.2916666666666667
13000,-0.052333333333333336
14000,0.2
15000,0.13933333333333334
16000,0.004
17000,-0.030666666666666665
18000,0.17466666666666666
19000,-0.07266666666666667
20000,0.241
21000,-0.20966666666666667
22000,-0.4066666666666667
23000,0.151
24000,-0.2836666666666667
25000,-0.017
26000,0.02033333333333333
27000,-0.19133333333333333
28000,-0.397
29000,0.3243333333333333
30000,0.056666666666666664
31000,0.058333333333333334
32000,-0.183
33000,0.113
34000,-0.039
35000,0.159
36000,-0.20166666666666666
37000,-0.3466666666666667
38000,-0.22266666666666668
39000,-0.15533333333333332
40000,0.317
41000,-0.029333333333333333
42000,0.050666666666666665
43000,-0.24
44000,-0.26266666666666666
45000,-0.2866666666666667
46000,-0.13966666666666666
47000,0.017666666666666667
48000,-0.138
49000,0.04766666666666667
50000,-0.21633333333333332
51000,0.37166666666666665
52000,0.08066666666666666
53000,-0.13866666666666666
54000,0.29233333333333333
55000,-0.004
56000,0.203
57000,0.05333333333333334
58000,-0.173
