timestep,win rate
52,0.485
52052,0.52
104052,0.435
156052,0.555
208052,0.44
260052,0.48
312052,0.43
364052,0.465
416052,0.465
468052,0.495
520052,0.505
572052,0.535
624052,0.51
676052,0.435
728052,0.485
780052,0.48
832052,0.505
884052,0.46
936052,0.48
988052,0.5
1040052,0.49
1092052,0.46
1144052,0.51
1196052,0.48
1248052,0.495
1300052,0.485
1352052,0.565
1404052,0.485
1456052,0.5
1508052,0.5
1560052,0.455
1612052,0.535
1664052,0.475
1716052,0.505
1768052,0.47
1820052,0.54
1872052,0.48
1924052,0.445
1976052,0.585
2028052,0.54
2080052,0.485
2132052,0.475
2184052,0.52
2236052,0.48
2288052,0.465
2340052,0.545
2392052,0.54
2444052,0.56
2496052,0.52
2548052,0.48
2600052,0.55
2652052,0.55
2704052,0.5
2756052,0.555
2808052,0.435
2860052,0.495
2912052,0.435
2964052,0.48
3016052,0.525
3068052,0.51
3120052,0.495
3172052,0.485
3224052,0.55
3276052,0.445
3328052,0.45
3380052,0.51
3432052,0.48
3484052,0.45
3536052,0.465
3588052,0.485
3640052,0.565
3692052,0.515
3744052,0.51
3796052,0.485
3848052,0.45
3900052,0.53
3952052,0.545
4004052,0.455
4056052,0.475
4108052,0.54
4160052,0.465
4212052,0.455
4264052,0.435
4316052,0.465
4368052,0.54
4420052,0.535
4472052,0.505
4524052,0.53
4576052,0.51
4628052,0.53
4680052,0.56
4732052,0.545
4784052,0.525
4836052,0.5
4888052,0.455
4940052,0.48
4992052,0.505
5044052,0.57
5096052,0.565
5148052,0.475
5200052,0.49
5252052,0.5
5304052,0.52
5356052,0.565
5408052,0.475
5460052,0.545
5512052,0.5
5564052,0.535
5616052,0.48
5668052,0.53
5720052,0.535
5772052,0.575
5824052,0.555
5876052,0.53
5928052,0.525
5980052,0.5
6032052,0.44
6084052,0.495
6136052,0.495
6188052,0.52
6240052,0.49
6292052,0.49
6344052,0.57
6396052,0.53
6448052,0.51
6500052,0.515
6552052,0.545
6604052,0.525
6656052,0.455
6708052,0.45
6760052,0.54
6812052,0.475
6864052,0.45
6916052,0.565
6968052,0.5
7020052,0.53
7072052,0.53
7124052,0.56
7176052,0.48
7228052,0.52
7280052,0.545
7332052,0.49
7384052,0.585
7436052,0.54
7488052,0.565
7540052,0.51
7592052,0.485
7644052,0.55
7696052,0.555
7748052,0.52
7800052,0.495
7852052,0.55
7904052,0.56
7956052,0.575
8008052,0.565
8060052,0.52
8112052,0.47
8164052,0.55
8216052,0.555
8268052,0.575
8320052,0.51
8372052,0.54
8424052,0.485
8476052,0.475
8528052,0.54
8580052,0.545
8632052,0.53
8684052,0.57
8736052,0.54
8788052,0.455
8840052,0.5
8892052,0.525
8944052,0.475
8996052,0.515
9048052,0.48
9100052,0.5
9152052,0.43
9204052,0.54
9256052,0.495
9308052,0.545
9360052,0.505
9412052,0.48
9464052,0.53
9516052,0.565
9568052,0.51
9620052,0.495
9672052,0.535
9724052,0.54
9776052,0.51
9828052,0.59
9880052,0.48
9932052,0.485
9984052,0.525
10036052,0.56
10088052,0.505
10140052,0.585
10192052,0.495
10244052,0.505
10296052,0.565
10348052,0.49
10400052,0.485
10452052,0.515
10504052,0.49
10556052,0.545
10608052,0.515
10660052,0.505
10712052,0.445
10764052,0.555
10816052,0.52
10868052,0.54
10920052,0.5
10972052,0.505
11024052,0.54
11076052,0.52
11128052,0.46
11180052,0.505
11232052,0.52
11284052,0.48
11336052,0.52
11388052,0.45
11440052,0.52
11492052,0.515
11544052,0.53
11596052,0.515
11648052,0.515
11700052,0.5
11752052,0.525
11804052,0.53
11856052,0.445
11908052,0.54
11960052,0.49
12012052,0.55
12064052,0.51
12116052,0.505
12168052,0.58
12220052,0.535
12272052,0.55
12324052,0.505
12376052,0.485
12428052,0.465
12480052,0.575
12532052,0.465
12584052,0.555
12636052,0.54
12688052,0.515
12740052,0.47
12792052,0.585
12844052,0.51
12896052,0.5
12948052,0.535
13000052,0.5
13052052,0.515
13104052,0.5
13156052,0.545
13208052,0.475
13260052,0.475
13312052,0.585
13364052,0.525
13416052,0.475
13468052,0.52
13520052,0.47
13572052,0.55
13624052,0.545
13676052,0.5
13728052,0.6
13780052,0.555
13832052,0.5
13884052,0.48
13936052,0.535
13988052,0.545
14040052,0.525
14092052,0.53
14144052,0.525
14196052,0.51
14248052,0.48
14300052,0.425
14352052,0.505
14404052,0.485
14456052,0.485
14508052,0.525
14560052,0.49
14612052,0.585
14664052,0.6
14716052,0.505
14768052,0.5
14820052,0.495
14872052,0.48
14924052,0.49
14976052,0.51
15028052,0.53
15080052,0.485
15132052,0.485
15184052,0.52
15236052,0.555
15288052,0.55
15340052,0.52
15392052,0.585
15444052,0.5
15496052,0.53
15548052,0.55
