timestep,reward
52,-0.16
52052,-0.03
104052,-0.26
156052,0.53
208052,-0.81
260052,-0.53
312052,-0.56
364052,-0.5
416052,-0.28
468052,0.17
520052,-0.2
572052,0.24
624052,0.05
676052,-0.57
728052,-0.26
780052,0.11
832052,0.22
884052,-0.33
936052,-0.54
988052,0.24
1040052,0.04
1092052,-0.17
1144052,0.33
1196052,-0.31
1248052,0.1
1300052,-0.26
1352052,0.51
1404052,-0.12
1456052,-0.07
1508052,-0.12
1560052,-0.28
1612052,-0.13
1664052,-0.41
1716052,0.03
1768052,-0.28
1820052,0.17
1872052,-0.03
1924052,-0.24
1976052,0.95
2028052,0.32
2080052,-0.41
2132052,-0.16
2184052,-0.01
2236052,-0.12
2288052,-0.08
2340052,0.62
2392052,0.5
2444052,0.64
2496052,0.19
2548052,0.13
2600052,0.17
2652052,0.37
2704052,-0.34
2756052,0.67
2808052,-0.43
2860052,0.33
2912052,-0.35
2964052,-0.29
3016052,0.3
3068052,-0.09
3120052,-0.05
3172052,0.02
3224052,0.18
3276052,-0.55
3328052,-0.4
3380052,-0.02
3432052,-0.19
3484052,-0.35
3536052,-0.25
3588052,-0.3
3640052,0.5
3692052,0.19
3744052,0.09
3796052,-0.11
3848052,-0.13
3900052,0.46
3952052,0.36
4004052,-0.51
4056052,-0.08
4108052,0.38
4160052,-0.26
4212052,-0.86
4264052,-0.68
4316052,-0.3
4368052,0.51
4420052,0.27
4472052,-0.4
4524052,0.1
4576052,0.09
4628052,0.17
4680052,0.61
4732052,0.17
4784052,0.27
4836052,0.05
4888052,-0.41
4940052,-0.12
4992052,0.01
5044052,0.63
5096052,0.71
5148052,-0.04
5200052,0.1
5252052,0.07
5304052,0.04
5356052,0.8
5408052,0.01
5460052,0.43
5512052,0.0
5564052,0.21
5616052,0.19
5668052,0.75
5720052,0.08
5772052,0.83
5824052,0.51
5876052,0.2
5928052,0.63
5980052,0.48
6032052,-0.17
6084052,0.1
6136052,0.05
6188052,0.02
6240052,-0.06
6292052,-0.02
6344052,0.46
6396052,0.22
6448052,-0.09
6500052,-0.04
6552052,0.42
6604052,0.21
6656052,-0.03
6708052,-0.02
6760052,0.1
6812052,0.17
6864052,-0.48
6916052,0.6
6968052,0.23
7020052,0.18
7072052,0.34
7124052,0.66
7176052,0.01
7228052,0.44
7280052,0.44
7332052,0.17
7384052,0.66
7436052,0.72
7488052,0.35
7540052,0.24
7592052,-0.34
7644052,0.6
7696052,0.45
7748052,0.16
7800052,-0.04
7852052,0.36
7904052,0.59
7956052,0.48
8008052,0.33
8060052,0.11
8112052,-0.31
8164052,0.45
8216052,0.5
8268052,0.86
8320052,0.01
8372052,0.51
8424052,-0.26
8476052,0.25
8528052,0.55
8580052,0.58
8632052,0.16
8684052,0.42
8736052,0.35
8788052,-0.24
8840052,0.2
8892052,0.22
8944052,-0.27
8996052,0.02
9048052,-0.17
9100052,0.44
9152052,0.03
9204052,0.25
9256052,0.11
9308052,0.32
9360052,0.12
9412052,-0.45
9464052,0.2
9516052,0.43
9568052,-0.06
9620052,0.07
9672052,0.04
9724052,0.33
9776052,0.34
9828052,0.63
9880052,-0.01
9932052,-0.24
9984052,0.2
10036052,0.74
10088052,0.18
10140052,0.71
10192052,0.0
10244052,-0.04
10296052,0.5
10348052,0.18
10400052,-0.14
10452052,-0.02
10504052,-0.16
10556052,0.67
10608052,0.44
10660052,0.13
10712052,-0.42
10764052,0.49
10816052,0.18
10868052,0.2
10920052,0.06
10972052,-0.03
11024052,0.07
11076052,0.23
11128052,-0.38
11180052,0.13
11232052,-0.2
11284052,-0.17
11336052,0.15
11388052,-0.23
11440052,0.04
11492052,0.34
11544052,0.26
11596052,-0.03
11648052,0.2
11700052,0.22
11752052,0.29
11804052,0.33
11856052,-0.28
11908052,0.25
11960052,-0.04
12012052,0.34
12064052,0.24
12116052,0.14
12168052,0.51
12220052,0.24
12272052,0.35
12324052,0.09
12376052,0.06
12428052,-0.36
12480052,0.82
12532052,-0.31
12584052,0.6
12636052,0.45
12688052,0.21
12740052,-0.23
12792052,0.7
12844052,-0.02
12896052,0.04
12948052,0.16
13000052,0.17
13052052,0.16
13104052,-0.13
13156052,0.53
13208052,-0.26
13260052,-0.24
13312052,0.55
13364052,0.68
13416052,-0.15
13468052,0.01
13520052,-0.43
13572052,0.4
13624052,0.29
13676052,0.16
13728052,0.94
13780052,0.55
13832052,0.05
13884052,-0.2
13936052,0.35
13988052,0.34
14040052,0.26
14092052,0.05
14144052,0.26
14196052,-0.03
14248052,-0.24
14300052,-0.35
14352052,0.1
14404052,0.27
14456052,0.38
14508052,0.49
14560052,-0.13
14612052,0.87
14664052,0.44
14716052,0.1
14768052,-0.11
14820052,-0.02
14872052,-0.22
14924052,-0.19
14976052,0.36
15028052,0.45
15080052,0.13
15132052,-0.15
15184052,-0.03
15236052,0.46
15288052,0.27
15340052,0.49
15392052,0.63
15444052,-0.16
15496052,0.03
15548052,0.31
