timestep,reward
52,-0.008333333333333333
52052,-0.09966666666666667
104052,-0.31866666666666665
156052,-0.274
208052,-0.008333333333333333
260052,-0.227
312052,0.086
364052,-0.14466666666666667
416052,-0.148
468052,0.2753333333333333
520052,0.016666666666666666
572052,-0.11733333333333333
624052,0.066
676052,-0.15266666666666667
728052,-0.011666666666666667
780052,0.06333333333333334
832052,-0.2826666666666667
884052,-0.043
936052,-0.102
988052,-0.14333333333333334
1040052,0.08766666666666667
1092052,0.07466666666666667
1144052,0.019
1196052,0.07
1248052,0.008
1300052,0.009666666666666667
1352052,0.006666666666666667
1404052,-0.09533333333333334
1456052,-0.03866666666666667
1508052,-0.07633333333333334
1560052,0.015666666666666666
1612052,-0.11933333333333333
1664052,-0.20333333333333334
1716052,0.17966666666666667
1768052,-0.021666666666666667
1820052,-0.15333333333333332
1872052,0.13366666666666666
1924052,-0.066
1976052,0.08366666666666667
2028052,-0.016666666666666666
2080052,0.18466666666666667
2132052,0.103
2184052,-0.19733333333333333
2236052,0.06366666666666666
2288052,0.024
2340052,0.217
2392052,0.065
2444052,-0.06933333333333333
2496052,0.029
2548052,0.115
2600052,0.08
2652052,-0.057666666666666665
2704052,0.12
2756052,0.174
2808052,0.066
2860052,-0.08466666666666667
2912052,0.06433333333333334
2964052,0.054
3016052,0.012333333333333333
3068052,0.05466666666666667
3120052,-0.08366666666666667
3172052,-0.008666666666666666
3224052,0.020666666666666667
3276052,0.31433333333333335
3328052,0.246
3380052,-0.16633333333333333
3432052,-0.011
3484052,0.231
3536052,0.023666666666666666
3588052,0.027666666666666666
3640052,-0.029
3692052,0.158
3744052,0.12933333333333333
3796052,0.233
3848052,0.004
3900052,0.10166666666666667
3952052,0.004
4004052,0.14233333333333334
4056052,-0.156
4108052,-0.031
4160052,0.18866666666666668
4212052,0.20933333333333334
4264052,0.22033333333333333
4316052,0.08533333333333333
4368052,0.15133333333333332
4420052,-0.01633333333333333
4472052,-0.056666666666666664
4524052,-0.079
4576052,0.07633333333333334
4628052,0.009666666666666667
4680052,-0.025333333333333333
4732052,-0.21966666666666668
4784052,0.074
4836052,-0.11633333333333333
4888052,0.241
4940052,-0.006
4992052,-0.052
5044052,0.061
5096052,0.0023333333333333335
5148052,-0.043333333333333335
5200052,0.15633333333333332
5252052,0.04633333333333333
5304052,0.043666666666666666
5356052,-0.034
5408052,0.134
5460052,0.053
5512052,0.077
5564052,0.082
5616052,0.05266666666666667
5668052,-0.066
5720052,0.030666666666666665
5772052,0.09666666666666666
5824052,-0.0033333333333333335
5876052,-0.11666666666666667
5928052,-0.039
5980052,0.14866666666666667
6032052,0.12
6084052,0.027666666666666666
6136052,0.066
6188052,0.010333333333333333
6240052,-0.0016666666666666668
6292052,0.058333333333333334
6344052,0.10333333333333333
6396052,-0.04566666666666667
6448052,-0.017
6500052,-0.19033333333333333
6552052,-0.096
6604052,-0.044
6656052,-0.038
6708052,0.0
6760052,-0.06733333333333333
6812052,-0.029333333333333333
6864052,-0.22566666666666665
6916052,-0.06566666666666666
6968052,-0.126
7020052,0.08533333333333333
7072052,-0.006666666666666667
7124052,0.151
7176052,0.14733333333333334
7228052,0.119
7280052,-0.08433333333333333
7332052,0.175
7384052,0.01
7436052,0.08866666666666667
7488052,0.049
7540052,0.027666666666666666
7592052,-0.09033333333333333
7644052,0.12
7696052,-0.19733333333333333
7748052,0.161
7800052,-0.032
7852052,-0.08133333333333333
7904052,0.052333333333333336
7956052,-0.019
8008052,0.04066666666666666
8060052,0.09266666666666666
8112052,0.035666666666666666
8164052,0.15733333333333333
8216052,0.04566666666666667
8268052,-0.133
8320052,0.141
8372052,0.2996666666666667
8424052,0.022
8476052,0.12866666666666668
8528052,0.035333333333333335
8580052,-0.034333333333333334
8632052,-0.04133333333333333
8684052,0.021333333333333333
8736052,0.25733333333333336
8788052,0.037
8840052,0.2713333333333333
8892052,-0.014333333333333333
8944052,0.088
8996052,-0.028
9048052,0.37766666666666665
9100052,0.17933333333333334
9152052,0.12833333333333333
9204052,0.36133333333333334
9256052,0.177
9308052,0.2806666666666667
9360052,0.20366666666666666
9412052,0.21033333333333334
9464052,0.04566666666666667
9516052,0.11066666666666666
9568052,0.141
9620052,0.16166666666666665
9672052,0.2786666666666667
9724052,0.26366666666666666
9776052,0.15233333333333332
9828052,-0.039
9880052,0.2653333333333333
9932052,0.214
9984052,0.11833333333333333
10036052,0.19266666666666668
10088052,-0.004
10140052,-0.092
10192052,0.071
10244052,0.019666666666666666
10296052,0.251
10348052,0.21466666666666667
10400052,0.189
10452052,0.09433333333333334
10504052,0.2946666666666667
10556052,0.157
10608052,0.17333333333333334
10660052,0.02033333333333333
10712052,0.08366666666666667
10764052,0.18733333333333332
10816052,0.09533333333333334
10868052,0.13866666666666666
10920052,0.164
10972052,0.049
11024052,0.182
11076052,-0.018
11128052,0.15233333333333332
11180052,0.017666666666666667
11232052,0.185
11284052,-0.113
11336052,0.108
11388052,0.19166666666666668
11440052,0.089
11492052,-0.023666666666666666
11544052,0.025333333333333333
11596052,-0.007666666666666666
11648052,-0.020666666666666667
11700052,0.175
11752052,0.18033333333333335
11804052,0.16133333333333333
11856052,0.14466666666666667
11908052,0.17333333333333334
11960052,0.42233333333333334
12012052,-0.04733333333333333
12064052,-0.003
12116052,0.14
12168052,0.203
12220052,0.01633333333333333
12272052,0.15233333333333332
12324052,0.276
12376052,0.15733333333333333
12428052,0.03666666666666667
