timestep,win rate
52,0.493
52052,0.492
104052,0.49
156052,0.472
208052,0.492
260052,0.493
312052,0.524
364052,0.472
416052,0.47
468052,0.507
520052,0.506
572052,0.499
624052,0.443
676052,0.501
728052,0.493
780052,0.489
832052,0.447
884052,0.471
936052,0.493
988052,0.482
1040052,0.502
1092052,0.482
1144052,0.486
1196052,0.499
1248052,0.473
1300052,0.466
1352052,0.481
1404052,0.505
1456052,0.488
1508052,0.498
1560052,0.468
1612052,0.455
1664052,0.478
1716052,0.48
1768052,0.472
1820052,0.5
1872052,0.514
1924052,0.507
1976052,0.503
2028052,0.476
2080052,0.534
2132052,0.497
2184052,0.481
2236052,0.472
2288052,0.488
2340052,0.526
2392052,0.476
2444052,0.506
2496052,0.507
2548052,0.498
2600052,0.483
2652052,0.489
2704052,0.485
2756052,0.493
2808052,0.487
2860052,0.518
2912052,0.527
2964052,0.5
3016052,0.497
3068052,0.531
3120052,0.51
3172052,0.487
3224052,0.495
3276052,0.502
3328052,0.499
3380052,0.482
3432052,0.479
3484052,0.548
3536052,0.477
3588052,0.512
3640052,0.508
3692052,0.494
3744052,0.468
3796052,0.525
3848052,0.479
3900052,0.513
3952052,0.548
4004052,0.524
4056052,0.497
4108052,0.595
4160052,0.523
4212052,0.496
4264052,0.538
4316052,0.507
4368052,0.533
4420052,0.508
4472052,0.529
4524052,0.535
4576052,0.509
4628052,0.513
4680052,0.526
4732052,0.539
4784052,0.497
4836052,0.522
4888052,0.517
4940052,0.5
4992052,0.523
5044052,0.499
5096052,0.509
5148052,0.498
5200052,0.504
5252052,0.497
5304052,0.496
5356052,0.499
5408052,0.538
5460052,0.523
5512052,0.523
5564052,0.491
5616052,0.49
5668052,0.537
5720052,0.525
5772052,0.493
5824052,0.488
5876052,0.525
5928052,0.505
5980052,0.509
6032052,0.498
6084052,0.495
6136052,0.51
6188052,0.496
6240052,0.495
6292052,0.5
6344052,0.537
6396052,0.547
6448052,0.484
6500052,0.505
6552052,0.514
6604052,0.569
6656052,0.473
6708052,0.48
6760052,0.493
6812052,0.495
6864052,0.544
6916052,0.548
6968052,0.515
7020052,0.488
7072052,0.505
7124052,0.501
7176052,0.517
7228052,0.515
7280052,0.502
7332052,0.498
7384052,0.518
7436052,0.515
7488052,0.55
7540052,0.537
7592052,0.502
7644052,0.515
7696052,0.511
7748052,0.511
7800052,0.515
7852052,0.501
7904052,0.478
7956052,0.514
8008052,0.517
8060052,0.52
8112052,0.507
8164052,0.491
8216052,0.514
8268052,0.482
8320052,0.493
8372052,0.537
8424052,0.505
8476052,0.529
8528052,0.502
8580052,0.529
8632052,0.5
8684052,0.554
8736052,0.526
8788052,0.504
8840052,0.525
8892052,0.503
8944052,0.523
8996052,0.483
9048052,0.509
9100052,0.501
9152052,0.509
9204052,0.53
9256052,0.511
9308052,0.506
9360052,0.501
9412052,0.516
9464052,0.488
9516052,0.504
9568052,0.493
