timestep,win rate
52,0.491
52052,0.506
104052,0.512
156052,0.502
208052,0.489
260052,0.483
312052,0.458
364052,0.502
416052,0.448
468052,0.467
520052,0.492
572052,0.491
624052,0.442
676052,0.501
728052,0.492
780052,0.485
832052,0.47
884052,0.434
936052,0.509
988052,0.469
1040052,0.504
1092052,0.489
1144052,0.466
1196052,0.477
1248052,0.484
1300052,0.491
1352052,0.479
1404052,0.485
1456052,0.518
1508052,0.51
1560052,0.464
1612052,0.502
1664052,0.511
1716052,0.509
1768052,0.482
1820052,0.494
1872052,0.51
1924052,0.486
1976052,0.502
2028052,0.474
2080052,0.502
2132052,0.508
2184052,0.474
2236052,0.529
2288052,0.506
2340052,0.51
2392052,0.49
2444052,0.499
2496052,0.489
2548052,0.516
2600052,0.486
2652052,0.493
2704052,0.539
2756052,0.505
2808052,0.512
2860052,0.497
2912052,0.524
2964052,0.505
3016052,0.542
3068052,0.509
3120052,0.522
3172052,0.489
3224052,0.485
3276052,0.496
3328052,0.526
3380052,0.515
3432052,0.503
3484052,0.512
3536052,0.516
3588052,0.5
3640052,0.505
3692052,0.514
3744052,0.497
3796052,0.506
3848052,0.53
3900052,0.463
3952052,0.496
4004052,0.509
4056052,0.503
4108052,0.529
4160052,0.505
4212052,0.524
4264052,0.5
4316052,0.511
4368052,0.505
4420052,0.519
4472052,0.544
4524052,0.495
4576052,0.527
4628052,0.518
4680052,0.519
4732052,0.519
4784052,0.504
4836052,0.508
4888052,0.498
4940052,0.504
4992052,0.482
5044052,0.506
5096052,0.486
5148052,0.493
5200052,0.487
5252052,0.497
5304052,0.498
5356052,0.501
5408052,0.497
5460052,0.534
5512052,0.51
5564052,0.493
5616052,0.471
5668052,0.515
5720052,0.527
5772052,0.51
5824052,0.497
5876052,0.535
5928052,0.521
5980052,0.538
6032052,0.535
6084052,0.516
6136052,0.53
6188052,0.525
6240052,0.547
6292052,0.511
6344052,0.527
6396052,0.524
6448052,0.5
6500052,0.53
6552052,0.504
6604052,0.525
6656052,0.539
6708052,0.521
6760052,0.528
6812052,0.5
6864052,0.535
6916052,0.528
6968052,0.54
7020052,0.543
7072052,0.501
7124052,0.53
7176052,0.502
7228052,0.483
7280052,0.504
7332052,0.486
7384052,0.542
7436052,0.521
7488052,0.535
7540052,0.521
7592052,0.502
7644052,0.54
7696052,0.515
7748052,0.533
7800052,0.538
7852052,0.503
7904052,0.496
7956052,0.516
8008052,0.529
8060052,0.501
8112052,0.536
8164052,0.517
8216052,0.512
8268052,0.5
8320052,0.514
8372052,0.518
8424052,0.522
8476052,0.526
8528052,0.534
8580052,0.513
8632052,0.494
8684052,0.52
8736052,0.525
8788052,0.516
8840052,0.515
8892052,0.509
8944052,0.522
8996052,0.521
9048052,0.53
9100052,0.547
9152052,0.521
9204052,0.536
9256052,0.537
9308052,0.519
9360052,0.534
9412052,0.512
9464052,0.51
9516052,0.537
9568052,0.561
