timestep,reward
52,0.0
52052,0.034
104052,0.0
156052,0.042
208052,-0.12
260052,-0.2
312052,-0.414
364052,0.104
416052,-0.506
468052,-0.264
520052,-0.31
572052,0.134
624052,-0.576
676052,0.078
728052,-0.28
780052,-0.248
832052,-0.366
884052,-0.644
936052,-0.152
988052,-0.224
1040052,0.136
1092052,-0.184
1144052,-0.388
1196052,-0.178
1248052,-0.166
1300052,-0.062
1352052,-0.204
1404052,-0.182
1456052,-0.004
1508052,0.196
1560052,-0.356
1612052,-0.014
1664052,-0.038
1716052,0.04
1768052,-0.1
1820052,-0.11
1872052,0.196
1924052,-0.216
1976052,0.16
2028052,-0.158
2080052,-0.068
2132052,-0.22
2184052,-0.006
2236052,0.246
2288052,-0.154
2340052,0.112
2392052,-0.026
2444052,-0.008
2496052,-0.104
2548052,0.208
2600052,-0.122
2652052,-0.11
2704052,0.172
2756052,-0.048
2808052,0.084
2860052,0.146
2912052,0.284
2964052,0.2
3016052,0.374
3068052,0.01
3120052,0.128
3172052,-0.208
3224052,-0.108
3276052,-0.068
3328052,0.274
3380052,0.194
3432052,-0.04
3484052,0.086
3536052,0.096
3588052,0.062
3640052,0.062
3692052,0.112
3744052,0.012
3796052,0.15
3848052,0.422
3900052,-0.306
3952052,-0.086
4004052,0.004
4056052,0.088
4108052,0.176
4160052,0.042
4212052,0.034
4264052,-0.046
4316052,0.162
4368052,0.056
4420052,0.012
4472052,0.432
4524052,0.14
4576052,0.26
4628052,0.188
4680052,0.156
4732052,0.106
4784052,0.056
4836052,-0.024
4888052,-0.004
4940052,-0.026
4992052,0.026
5044052,-0.024
5096052,0.014
5148052,0.038
5200052,-0.094
5252052,-0.012
5304052,0.064
5356052,0.124
5408052,-0.042
5460052,0.272
5512052,0.078
5564052,-0.122
5616052,-0.022
5668052,0.188
5720052,0.244
5772052,0.238
5824052,0.032
5876052,0.254
5928052,0.242
5980052,0.372
6032052,0.262
6084052,0.194
6136052,0.26
6188052,0.204
6240052,0.474
6292052,0.154
6344052,0.338
6396052,0.176
6448052,0.048
6500052,0.35
6552052,0.236
6604052,0.548
6656052,0.328
6708052,0.098
6760052,0.266
6812052,0.142
6864052,0.186
6916052,0.418
6968052,0.358
7020052,0.404
7072052,0.036
7124052,0.31
7176052,0.048
7228052,-0.022
7280052,0.126
7332052,-0.136
7384052,0.488
7436052,0.152
7488052,0.476
7540052,0.266
7592052,0.064
7644052,0.52
7696052,0.226
7748052,0.374
7800052,0.316
7852052,0.104
7904052,-0.018
7956052,0.068
8008052,0.24
8060052,0.128
8112052,0.246
8164052,0.102
8216052,0.13
8268052,0.094
8320052,-0.012
8372052,0.082
8424052,0.104
8476052,0.118
8528052,0.386
8580052,0.104
8632052,-0.008
8684052,0.21
8736052,0.25
8788052,0.18
8840052,0.158
8892052,0.162
8944052,0.238
8996052,0.264
9048052,0.178
9100052,0.416
9152052,0.146
9204052,0.368
9256052,0.242
9308052,0.166
9360052,0.398
9412052,0.274
9464052,0.09
9516052,0.39
9568052,0.552
