timestep,reward
52,0.16
52052,-0.38
104052,0.14
156052,0.36
208052,0.43
260052,-0.06
312052,-0.5
364052,-0.08
416052,0.03
468052,-0.24
520052,-0.1
572052,0.62
624052,0.73
676052,0.18
728052,0.05
780052,0.09
832052,-0.21
884052,0.39
936052,0.12
988052,0.47
1040052,-0.5
1092052,-0.23
1144052,-0.34
1196052,-0.12
1248052,-0.05
1300052,-0.13
1352052,0.08
1404052,-0.21
1456052,0.06
1508052,-0.27
1560052,-0.1
1612052,-0.05
1664052,-0.28
1716052,0.25
1768052,0.65
1820052,-0.33
1872052,0.11
1924052,0.32
1976052,0.74
2028052,0.47
2080052,-0.35
2132052,-0.01
2184052,-0.32
2236052,-0.29
2288052,0.29
2340052,-0.24
2392052,0.14
2444052,0.41
2496052,0.16
2548052,0.25
2600052,0.24
2652052,0.06
2704052,-0.32
2756052,0.18
2808052,-0.25
2860052,0.08
2912052,-0.06
2964052,0.08
3016052,0.63
3068052,-0.51
3120052,-0.26
3172052,-0.42
3224052,0.0
3276052,-0.03
3328052,0.2
3380052,-0.05
3432052,-0.17
3484052,-0.45
3536052,0.07
3588052,-0.06
3640052,-0.23
3692052,0.38
3744052,-0.55
3796052,0.54
3848052,-0.45
3900052,-0.11
3952052,0.01
4004052,-0.17
4056052,0.24
4108052,0.52
4160052,0.34
4212052,-0.06
4264052,-0.19
4316052,0.17
4368052,0.08
4420052,0.29
4472052,-0.55
4524052,-0.04
4576052,0.27
4628052,0.35
4680052,0.1
4732052,0.48
4784052,0.49
4836052,0.26
4888052,0.25
4940052,0.24
4992052,-0.36
5044052,-0.25
5096052,0.18
5148052,0.02
5200052,-0.01
5252052,0.21
5304052,-0.4
5356052,-0.49
5408052,0.39
5460052,-0.02
5512052,-0.09
5564052,0.13
5616052,0.12
5668052,0.06
5720052,-0.55
5772052,0.26
5824052,0.48
5876052,-0.19
5928052,-0.15
5980052,0.58
6032052,0.08
6084052,0.0
6136052,-0.33
6188052,-0.08
6240052,0.46
6292052,-0.07
6344052,0.3
6396052,0.37
6448052,-0.06
6500052,0.18
6552052,0.69
6604052,0.44
6656052,-0.32
6708052,0.44
6760052,-0.07
6812052,0.67
6864052,-0.23
6916052,0.12
6968052,-0.17
7020052,0.19
7072052,0.11
7124052,0.31
7176052,-0.46
7228052,-0.1
7280052,-0.16
7332052,-0.94
7384052,-0.19
7436052,0.07
7488052,0.46
7540052,0.34
7592052,-0.6
7644052,0.55
7696052,-0.13
7748052,0.07
7800052,-0.01
7852052,-0.1
7904052,0.16
7956052,-0.51
8008052,0.1
8060052,-0.15
8112052,0.33
8164052,0.25
8216052,-0.02
8268052,0.11
8320052,0.19
8372052,0.12
8424052,0.12
8476052,0.33
8528052,-0.09
8580052,0.15
8632052,0.27
8684052,0.33
8736052,-0.25
8788052,-0.5
8840052,0.02
8892052,0.15
8944052,-0.22
8996052,-0.24
9048052,-0.32
9100052,-0.46
9152052,-0.37
9204052,0.16
9256052,-0.24
9308052,0.1
9360052,-0.21
9412052,-0.5
9464052,-0.1
9516052,0.13
9568052,-0.06
9620052,-0.35
9672052,0.07
9724052,0.55
9776052,-0.28
9828052,0.19
9880052,0.09
9932052,0.24
9984052,0.27
10036052,0.13
10088052,0.15
10140052,-0.03
10192052,0.56
10244052,0.22
10296052,0.34
10348052,0.38
10400052,0.28
10452052,0.29
10504052,-0.05
10556052,0.53
10608052,0.33
10660052,-0.16
10712052,-0.13
10764052,-0.04
10816052,-0.11
10868052,0.49
10920052,-0.45
10972052,-0.38
11024052,0.1
11076052,-0.27
11128052,-0.09
11180052,0.1
11232052,0.36
11284052,0.26
11336052,0.02
11388052,0.28
11440052,0.11
11492052,0.1
11544052,0.29
11596052,-0.17
11648052,0.18
11700052,-0.04
11752052,0.04
11804052,0.44
11856052,-0.17
11908052,0.04
11960052,0.08
12012052,-0.12
12064052,-0.19
12116052,0.21
12168052,0.31
12220052,0.12
12272052,-0.12
12324052,-0.03
12376052,-0.2
12428052,-0.21
12480052,-0.16
12532052,-0.12
12584052,0.11
12636052,0.07
12688052,-0.12
12740052,0.15
12792052,0.47
12844052,-0.45
12896052,0.39
12948052,-0.35
13000052,-0.38
13052052,0.4
13104052,-0.14
13156052,0.15
13208052,-0.26
13260052,-0.1
13312052,-0.04
13364052,0.11
13416052,-0.93
13468052,0.14
13520052,-0.03
13572052,0.4
13624052,-0.25
13676052,0.42
13728052,0.35
13780052,-0.27
13832052,-0.32
13884052,0.2
13936052,0.39
13988052,-0.24
14040052,-0.39
14092052,-0.14
14144052,-0.8
14196052,0.47
14248052,-0.22
14300052,-0.64
14352052,-0.22
14404052,-0.11
14456052,-1.05
14508052,-0.26
14560052,-0.23
14612052,-0.38
14664052,0.1
14716052,0.53
14768052,-0.03
14820052,-0.15
14872052,-0.35
14924052,0.24
14976052,0.26
15028052,-0.2
15080052,-0.03
15132052,-0.13
15184052,-0.12
15236052,0.5
15288052,-0.49
15340052,-0.16
15392052,-0.21
15444052,-0.33
15496052,-0.88
15548052,-0.36
15600052,-0.27
15652052,-0.13
15704052,0.07
15756052,-0.5
15808052,-0.34
15860052,-0.05
15912052,-0.32
15964052,0.14
16016052,-0.42
16068052,0.27
16120052,-0.05
16172052,-0.04
16224052,-0.11
16276052,-0.14
