timestep,reward
52,0.092
52052,-0.061
104052,-0.169
156052,-0.124
208052,-0.227
260052,0.037
312052,0.027
364052,0.185
416052,-0.097
468052,0.156
520052,0.222
572052,0.015
624052,-0.401
676052,0.086
728052,0.187
780052,-0.024
832052,0.015
884052,-0.024
936052,-0.381
988052,-0.427
1040052,-0.181
1092052,-0.304
1144052,-0.143
1196052,-0.323
1248052,-0.13
1300052,0.22
1352052,-0.18
1404052,0.13
1456052,-0.257
1508052,-0.166
1560052,0.203
1612052,0.006
1664052,0.066
1716052,0.079
1768052,-0.143
1820052,-0.099
1872052,-0.007
1924052,-0.113
1976052,-0.039
2028052,0.032
2080052,0.066
2132052,0.159
2184052,-0.065
2236052,0.163
2288052,-0.353
2340052,-0.296
2392052,0.074
2444052,-0.261
2496052,0.229
2548052,0.422
2600052,-0.027
2652052,-0.08
2704052,0.092
2756052,-0.108
2808052,-0.157
2860052,-0.012
2912052,-0.098
2964052,0.109
3016052,-0.053
3068052,-0.002
3120052,-0.043
3172052,0.192
3224052,0.045
3276052,0.235
3328052,-0.053
3380052,0.265
3432052,0.036
3484052,0.298
3536052,-0.176
3588052,0.085
3640052,-0.06
3692052,0.096
3744052,0.405
3796052,0.056
3848052,0.254
3900052,0.279
3952052,0.033
4004052,0.114
4056052,-0.092
4108052,-0.082
4160052,0.041
4212052,0.14
4264052,0.026
4316052,0.183
4368052,0.369
4420052,0.263
4472052,0.144
4524052,0.161
4576052,0.447
4628052,0.176
4680052,0.439
4732052,0.416
4784052,0.409
4836052,0.252
4888052,0.174
4940052,0.118
4992052,0.31
5044052,0.159
5096052,0.294
5148052,0.13
5200052,0.168
5252052,-0.014
5304052,0.181
5356052,0.345
5408052,0.053
5460052,0.0
5512052,-0.002
5564052,-0.044
5616052,0.2
5668052,-0.019
5720052,-0.014
5772052,0.219
5824052,0.275
5876052,0.172
5928052,-0.045
5980052,0.229
6032052,0.129
6084052,-0.044
6136052,0.124
6188052,0.124
6240052,0.28
6292052,0.068
6344052,0.0
6396052,0.057
6448052,0.16
6500052,0.015
6552052,0.194
6604052,0.258
6656052,0.37
6708052,-0.054
6760052,0.114
6812052,0.232
6864052,0.235
6916052,0.071
6968052,0.263
7020052,0.268
7072052,0.215
7124052,0.185
7176052,0.032
7228052,0.094
7280052,0.101
7332052,0.116
7384052,0.041
7436052,0.095
7488052,0.117
7540052,0.009
7592052,0.026
7644052,0.085
7696052,0.091
7748052,0.088
7800052,0.223
7852052,0.043
7904052,0.045
7956052,0.124
8008052,-0.015
8060052,-0.139
8112052,0.02
8164052,0.211
8216052,0.091
8268052,0.16
8320052,0.074
8372052,0.246
8424052,0.365
8476052,0.284
8528052,-0.2
8580052,0.173
8632052,0.058
8684052,-0.033
8736052,0.045
8788052,0.214
8840052,0.15
8892052,0.059
8944052,0.123
8996052,0.283
9048052,0.375
9100052,0.204
9152052,0.07
9204052,0.258
9256052,0.107
9308052,0.164
9360052,0.002
9412052,0.149
9464052,0.124
9516052,0.094
9568052,0.058
9620052,0.077
9672052,0.049
9724052,0.052
9776052,0.085
9828052,0.166
9880052,0.096
9932052,0.142
9984052,0.018
10036052,-0.137
10088052,0.081
10140052,0.068
10192052,-0.058
10244052,0.161
10296052,0.095
10348052,0.215
10400052,0.046
10452052,-0.016
10504052,0.17
10556052,0.215
10608052,-0.103
10660052,-0.107
10712052,0.016
10764052,-0.004
10816052,0.051
10868052,0.248
10920052,0.24
10972052,0.065
11024052,0.117
11076052,0.079
11128052,0.075
11180052,0.066
11232052,0.093
11284052,0.288
11336052,0.182
11388052,0.401
11440052,0.352
11492052,0.299
11544052,0.294
11596052,0.201
11648052,0.461
11700052,0.289
11752052,0.371
11804052,0.279
11856052,0.28
11908052,0.106
11960052,0.102
12012052,0.253
12064052,0.346
12116052,0.268
12168052,0.218
12220052,0.155
12272052,0.054
12324052,-0.071
12376052,0.052
12428052,0.199
12480052,0.147
12532052,0.013
12584052,0.174
12636052,0.238
12688052,0.247
12740052,0.047
12792052,0.068
12844052,0.204
12896052,0.276
12948052,-0.041
13000052,-0.069
13052052,0.14
13104052,0.038
13156052,0.226
13208052,0.012
13260052,0.324
13312052,-0.02
13364052,0.045
13416052,0.072
13468052,0.021
13520052,0.102
13572052,-0.197
13624052,-0.027
13676052,-0.109
13728052,0.086
13780052,0.109
13832052,0.043
13884052,-0.039
13936052,0.122
13988052,0.208
14040052,0.078
14092052,0.314
14144052,0.144
14196052,0.181
14248052,0.097
14300052,0.128
14352052,0.083
14404052,0.212
14456052,0.14
14508052,0.079
14560052,0.024
14612052,0.104
14664052,0.224
14716052,0.108
14768052,0.071
14820052,0.152
14872052,0.115
14924052,-0.013
14976052,-0.071
15028052,0.16
15080052,-0.02
15132052,-0.057
15184052,0.198
15236052,-0.158
15288052,0.206
15340052,-0.036
15392052,0.094
15444052,0.101
15496052,0.369
15548052,0.28
15600052,0.114
15652052,0.09
15704052,0.302
15756052,-0.156
15808052,0.011
15860052,0.193
15912052,0.103
15964052,0.054
16016052,0.048
16068052,0.237
16120052,0.117
16172052,0.159
16224052,0.221
16276052,0.277
16328052,0.101
16380052,0.125
16432052,0.19
16484052,0.139
16536052,-0.003
16588052,0.015
16640052,0.247
16692052,0.119
16744052,-0.011
16796052,0.22
16848052,0.037
