episodes,win rate,win rate easy,win rate medium,win rate hard
0,0.5105,0.8594909862142099,0.5195099818511797,0.15549738219895287
1000,0.5058333333333334,0.8739361702127659,0.49863138686131386,0.15508298755186722
2000,0.4825,0.8382193268186754,0.4828335506301608,0.12924071082390953
3000,0.49133333333333334,0.8310477235326386,0.5129928315412187,0.1480719794344473
4000,0.49666666666666665,0.8479286837965391,0.49117247623358984,0.1475583864118896
5000,0.5065,0.8482939632545932,0.5073339085418465,0.1389983117613956
6000,0.484,0.832341806381828,0.491647855530474,0.14256198347107438
7000,0.508,0.8424177010253643,0.5264092321349312,0.15892291446673706
8000,0.5075,0.8500506585612969,0.4977148080438757,0.1512513601741023
9000,0.5105,0.8535031847133758,0.5126126126126126,0.16719409282700423
10000,0.48583333333333334,0.8297213622291022,0.47610540419830283,0.1321996708721887
11000,0.4985,0.8542553191489362,0.5029612756264237,0.14597402597402598
12000,0.5076666666666667,0.8555033907146583,0.5068306010928961,0.15527291997880233
13000,0.4895,0.8491471215351812,0.481581311769991,0.14330874604847207
14000,0.512,0.8615803814713896,0.5182872435325602,0.17108684347373895
15000,0.525,0.8723181580324437,0.5327490774907749,0.17074440395627277
16000,0.5078333333333334,0.8530197755211117,0.5260063319764813,0.15015641293013557
17000,0.5125,0.8506907545164718,0.5248972133394244,0.168481078278901
18000,0.4736666666666667,0.8339582217461168,0.4632616487455197,0.13203577064702787
19000,0.49566666666666664,0.8432956381260097,0.4895652173913044,0.15301139446554532
20000,0.46316666666666667,0.813641245972073,0.4658938921087829,0.11556728232189974
21000,0.5051666666666667,0.8629550321199143,0.5090571295866233,0.16321374431531077
22000,0.5136666666666667,0.8536193029490616,0.534398579671549,0.15196599362380447
23000,0.489,0.8416532474503489,0.48151408450704225,0.14584450402144772
24000,0.48733333333333334,0.844551282051282,0.48943014705882354,0.14241803278688525
25000,0.4613333333333333,0.8119122257053292,0.44010767160161507,0.1254711900915455
26000,0.5123333333333333,0.8677948175568482,0.5099099099099099,0.15934356802541028
27000,0.4781666666666667,0.8316008316008316,0.46626617375231055,0.13598326359832635
28000,0.48033333333333333,0.8371970495258166,0.4680661009379187,0.13150831991411702
29000,0.5056666666666667,0.8540540540540541,0.5105428443248093,0.16449765747006767
30000,0.48133333333333334,0.8221281101111699,0.48375768217734855,0.127114020731042
31000,0.519,0.8643892339544513,0.5114678899082569,0.1742584745762712
32000,0.5176666666666667,0.8662486938349008,0.516143701682583,0.1658717541070482
33000,0.5036666666666667,0.8598326359832636,0.5009099181073703,0.14656084656084656
34000,0.5155,0.8657608695652174,0.5223155103844455,0.1676331049024776
35000,0.5461666666666667,0.8910359634997316,0.5549573799910273,0.19916142557651992
36000,0.4766666666666667,0.8437673130193906,0.48741721854304637,0.12072538860103627
37000,0.49366666666666664,0.8515541264737406,0.5051454138702461,0.12848867825171142
38000,0.4781666666666667,0.8239621650026274,0.4725526075022873,0.1402407116692831
39000,0.5285,0.8689119170984456,0.5231992929739284,0.17155506364139458
40000,0.49983333333333335,0.8445873526259379,0.4997770842621489,0.15970386039132733
41000,0.5086666666666667,0.8625954198473282,0.508519003931848,0.16302610548748003
42000,0.5101666666666667,0.8573002754820936,0.5177335640138409,0.16444207154297918
43000,0.4725,0.818086774699425,0.4631388511985527,0.13113006396588486
44000,0.5035,0.8547368421052631,0.5036596523330283,0.15464994775339602
45000,0.5008333333333334,0.8572198275862069,0.4957833999112295,0.1570597567424643
46000,0.5143333333333333,0.859074362974519,0.5114709851551957,0.16019417475728157
47000,0.47833333333333333,0.8268720127456187,0.47539503386004517,0.1366982124079916
48000,0.5211666666666667,0.8698630136986302,0.5348729792147806,0.16417139907072792
49000,0.5153333333333333,0.8685622317596566,0.5335120643431636,0.1469968387776607
50000,0.5165,0.8578174186778594,0.5206724216265334,0.16798732171156894
51000,0.49616666666666664,0.863021420518602,0.5026109660574413,0.15093360995850622
52000,0.503,0.8564383561643836,0.506140350877193,0.15883905013192612
53000,0.49333333333333335,0.8262004175365344,0.4930586654724586,0.14910858995137763
54000,0.47483333333333333,0.8281938325991189,0.47962382445141066,0.14044079958995387
55000,0.4945,0.8429926238145417,0.4950045413260672,0.14578947368421052
56000,0.49566666666666664,0.8441358024691358,0.49201277955271566,0.13672922252010725
57000,0.5095,0.8514531754574811,0.5133948177426438,0.1640750670241287
58000,0.4995,0.8428571428571429,0.5138888888888888,0.13684771033013846
59000,0.47883333333333333,0.844257996853697,0.45227272727272727,0.1415742208135235
60000,0.5005,0.8369166229680126,0.5069662921348315,0.1493576017130621
61000,0.4806666666666667,0.8335112059765208,0.47202486678507993,0.13820704375667023
62000,0.4886666666666667,0.8446705945366899,0.4889190411578471,0.1425598335067638
63000,0.5081666666666667,0.8540372670807453,0.5124603534209334,0.14400859752821063
64000,0.5096666666666667,0.8507071765322158,0.5150393336418325,0.16632124352331606
65000,0.5001666666666666,0.8417989417989418,0.4986449864498645,0.16139240506329114
66000,0.541,0.8809891808346213,0.5515510948905109,0.17514729512587038
67000,0.49966666666666665,0.8534303534303534,0.49463369108726085,0.15312984997413348
68000,0.5,0.8628601921024547,0.4977293369663942,0.14916839916839916
69000,0.489,0.8439337252805986,0.48518850987432677,0.14413466596528143
70000,0.4791666666666667,0.8284518828451883,0.4678229119123688,0.14022140221402213
71000,0.47483333333333333,0.8242744063324539,0.46654692411315674,0.13205537806176784
72000,0.5086666666666667,0.8587420042643923,0.5135857461024499,0.15327301756253325
73000,0.5031666666666667,0.8544140423335054,0.49587534372135655,0.14992025518341306
74000,0.4875,0.8358599059069525,0.47952684258416745,0.1439915299100053
75000,0.4955,0.8347368421052631,0.49758666081614744,0.13893465129049973
76000,0.5013333333333333,0.853763440860215,0.5040394973070018,0.1553347280334728
77000,0.4806666666666667,0.8375931842385517,0.47513812154696133,0.14307692307692307
78000,0.5038333333333334,0.8543793659322945,0.5019659239842726,0.1535135135135135
79000,0.49966666666666665,0.8610810810810811,0.49560246262093227,0.14818763326226012
80000,0.5006666666666667,0.8472668810289389,0.5002255299954894,0.16379760041731872
81000,0.5155,0.8590146750524109,0.5203034359660865,0.15559157212317667
82000,0.5095,0.8598901098901099,0.5288713910761155,0.1494192185850053
83000,0.498,0.8509845662586483,0.4972627737226277,0.15500259201658892
84000,0.49566666666666664,0.844845908607864,0.49659555152065366,0.1514360313315927
85000,0.5068333333333334,0.8583017847485127,0.5086551264980027,0.16227608008429925
86000,0.5093333333333333,0.864297253634895,0.5145024542614904,0.15667718191377497
87000,0.49666666666666665,0.8548644338118022,0.4884143571104044,0.1548488008342023
88000,0.49766666666666665,0.8572204125950055,0.4991158267020336,0.14662447257383968
89000,0.5041666666666667,0.8450779989241528,0.5197132616487455,0.1540073336825563
90000,0.5008333333333334,0.8692774407060121,0.5055383252104564,0.14922279792746113
91000,0.512,0.8497326203208556,0.5288075033497097,0.1581173982020095
92000,0.4786666666666667,0.8370136698212408,0.4770558836892322,0.12124406958355298
93000,0.4795,0.8318009734991888,0.48351158645276293,0.1331934976402727
94000,0.49133333333333334,0.8405405405405405,0.4835598421744849,0.15516318887105404
95000,0.49333333333333335,0.8484685652874798,0.47899523603291466,0.15027322404371585
96000,0.4841666666666667,0.8354223433242507,0.48729582577132485,0.15196328403875572
97000,0.48383333333333334,0.8250681198910081,0.4927599824484423,0.14103923647932132
98000,0.5045,0.8400211193241817,0.5156179266636487,0.1565629942013706
99000,0.4945,0.8308746048472075,0.4825174825174825,0.15766262403528114
100000,0.4801666666666667,0.843399251737039,0.46642952423299244,0.1351063829787234
101000,0.5006666666666667,0.8577384054194893,0.485589519650655,0.1373534338358459
102000,0.49866666666666665,0.8563829787234043,0.4967032967032967,0.13658536585365855
103000,0.5041666666666667,0.8570688762299327,0.4821264894592117,0.1685214626391097
104000,0.4713333333333333,0.834983498349835,0.4704585537918871,0.12695924764890282
105000,0.49716666666666665,0.8468614718614719,0.5117647058823529,0.1477857878475798
106000,0.483,0.8362950996230479,0.484304932735426,0.13852587558808155
107000,0.4975,0.8514588859416445,0.49911268855368235,0.1370231058570661
108000,0.5086666666666667,0.8555033907146583,0.5025056947608201,0.16366525423728814
109000,0.5141666666666667,0.8506224066390041,0.5141843971631206,0.15693832599118943
110000,0.5045,0.8599059069524307,0.5006815084052704,0.14846235418875928
111000,0.508,0.8564718162839249,0.519486474094452,0.1439831844456122
112000,0.4905,0.8361169102296451,0.4974068835454974,0.1456953642384106
113000,0.5316666666666666,0.8734309623430963,0.541834451901566,0.16675661090124122
114000,0.4745,0.8244111349036403,0.4647507858105074,0.14278215223097113
115000,0.5058333333333334,0.8441422594142259,0.5048888888888889,0.15505984766050054
116000,0.5078333333333334,0.849707912904939,0.5096507352941176,0.17413704276146316
117000,0.5006666666666667,0.8548132561809574,0.49754792688363797,0.14170258620689655
118000,0.515,0.8665219750406945,0.5254988913525499,0.1619348054679285
119000,0.4915,0.8372827804107424,0.4919642857142857,0.13809779688339602
120000,0.505,0.8478494623655914,0.5147321428571429,0.15789473684210525
121000,0.5021666666666667,0.8439678284182306,0.5048034934497817,0.15338753387533877
122000,0.5023333333333333,0.8429926238145417,0.5051362215274676,0.15190552871712293
123000,0.4886666666666667,0.8336017176596887,0.4888790035587189,0.14822657490735838
124000,0.48733333333333334,0.8255693581780539,0.475011256190905,0.14834867352463454
125000,0.49833333333333335,0.8548034934497817,0.501096010521701,0.1489136195018548
126000,0.49233333333333335,0.8363636363636363,0.49768946395563773,0.13971742543171115
